Timestamp,BI
1738271772.61114,574
1738271773.18525,350
1738271773.86502,574
1738271774.17446,574
1738271775.29449,680
1738271775.66108,706
1738271776.36732,939
1738271777.4768,939
1738271778.41589,939
1738271779.60773,939
1738271780.42437,939
1738271781.21308,1005
1738271782.34161,1005
1738271783.34614,1005
1738271784.38107,1005
1738271784.75969,510
1738271785.26997,510
1738271785.58571,510
1738271786.74574,510
1738271787.66444,792
1738271788.10915,834
1738271788.90071,792
1738271789.73502,792
1738271790.07021,834
1738271791.17008,1038
1738271792.20791,1049
1738271793.38239,1049
1738271794.43143,1038
1738271794.75079,995
1738271795.55441,995
1738271796.54931,804
1738271797.59153,804
1738271797.92508,795
1738271798.5851,660
1738271799.38003,486
1738271799.75024,486
1738271800.23585,370
1738271800.57007,370
1738271800.88097,445
1738271801.32573,445
1738271802.05451,445
1738271802.86523,729
1738271803.19344,811
1738271804.34461,1089
1738271805.43331,1089
1738271806.57504,1089
1738271807.64601,1071
1738271808.0403,811
1738271808.66574,697
1738271809.47663,625
1738271810.17412,697
1738271810.7148,697
1738271811.5564,697
1738271812.25342,681
1738271812.93481,681
1738271813.49233,558
1738271813.81956,558
1738271814.18937,486
1738271814.83492,486
1738271815.32097,610
1738271816.21883,610
1738271816.82925,486
1738271817.27307,610
1738271817.68313,610
1738271818.32892,444
1738271818.96426,410
1738271819.3734,635
1738271819.69074,537
1738271820.53749,409
1738271821.07438,423
1738271821.45335,507
1738271821.87681,423
1738271822.38382,423
1738271822.70053,507
1738271823.43925,507
1738271824.16854,729
1738271824.56989,739
1738271825.58292,978
1738271826.56131,978
1738271827.92059,978
1738271828.71201,978
1738271829.02084,791
1738271830.17246,790
1738271830.96253,658
1738271831.29772,658
1738271831.95611,658
1738271832.38858,658
1738271833.41495,817
1738271834.40591,991
1738271835.22327,991
1738271836.30515,949
1738271837.08106,879
1738271838.03049,949
1738271838.90986,949
1738271839.99815,949
1738271841.24119,879
1738271841.6224,1088
1738271842.11878,1107
1738271843.26755,681
1738271844.37476,681
1738271845.05605,794
1738271845.51552,794
1738271846.30974,794
1738271847.27957,904
1738271848.5427,952
1738271849.44686,969
1738271850.39894,952
1738271851.36769,951
1738271852.31906,952
1738271853.21615,951
1738271854.25642,897
1738271854.8529,596
1738271855.30715,454
1738271855.63482,367
1738271855.94983,367
1738271856.31702,367
1738271856.94366,367
1738271857.4176,474
1738271857.74209,522
1738271858.2637,517
1738271858.83392,522
1738271859.35066,522
1738271860.18314,570
1738271860.53879,598
1738271861.4875,598
1738271862.08593,598
1738271862.57543,604
1738271863.57679,598
1738271864.18108,490
1738271864.52842,581
1738271864.8871,581
1738271865.46832,581
1738271866.29224,782
1738271867.07417,782
1738271867.88719,782
1738271868.24184,782
1738271869.01783,776
1738271870.12726,761
1738271870.88806,776
1738271871.25166,1101
1738271872.35224,1083
1738271873.50145,1083
1738271874.58439,1091
1738271875.61506,1091
1738271876.70557,1083
1738271877.83605,1031
1738271878.21087,1067
1738271878.71302,892
1738271879.77955,892
1738271880.67138,892
1738271881.79695,892
1738271882.55045,754
1738271882.9692,677
1738271883.32846,677
1738271884.00568,419
1738271884.72234,677
1738271885.04789,677
1738271886.19711,595
1738271886.59176,595
1738271887.18632,847
1738271888.1764,847
1738271889.0231,848
1738271889.88306,848
1738271890.73122,847
1738271891.4812,750
1738271891.86292,750
1738271892.3596,750
1738271893.14859,507
1738271893.90031,507
1738271894.40779,752
1738271894.7994,752
1738271895.60167,507
1738271896.53066,499
1738271896.86877,802
1738271897.36748,499
1738271898.20155,487
1738271898.68839,499
1738271899.01059,805
1738271899.81575,789
1738271900.696,805
1738271901.48471,805
1738271902.29056,791
1738271903.08185,789
1738271903.85055,769
1738271904.19079,475
1738271904.6657,475
1738271905.03398,475
1738271905.57253,539
1738271906.2898,539
1738271907.36147,539
1738271907.73739,492
1738271908.22932,492
1738271908.65609,427
1738271909.23335,481
1738271909.63672,481
1738271910.11801,481
1738271910.70615,481
1738271911.02422,481
1738271911.66681,588
1738271911.98441,327
1738271912.84988,556
1738271913.17656,517
1738271913.73221,517
1738271914.24895,517
1738271914.5822,517
1738271915.55303,517
1738271915.86528,565
1738271916.43066,835
1738271917.41159,633
1738271918.24698,633
1738271918.88018,835
1738271919.25941,827
1738271920.14737,827
1738271920.97388,837
1738271921.90009,888
1738271922.73685,852
1738271923.71097,897
1738271924.5629,852
1738271925.45948,897
1738271926.27323,852
1738271927.2668,814
1738271927.60299,814
1738271928.21601,825
1738271929.04064,825
1738271929.98425,825
1738271930.80909,825
1738271931.15246,825
1738271931.77612,825
1738271932.65724,805
1738271933.70098,805
1738271934.50629,805
1738271935.2325,726
1738271935.75957,583
1738271936.3428,557
1738271936.89961,527
1738271937.29049,391
1738271937.6181,391
1738271937.97811,391
1738271938.93889,843
1738271939.78163,843
1738271940.63375,843
1738271941.38841,755
1738271941.96963,755
1738271942.46564,755
1738271943.34201,581
1738271944.18389,496
1738271944.57451,445
1738271945.01952,445
1738271945.35093,445
1738271945.95875,608
1738271946.69724,677
1738271947.6072,677
1738271948.28402,738
1738271948.62283,677
1738271949.48985,339
1738271949.82536,339
1738271950.16022,793
1738271951.2616,790
1738271952.05473,793
1738271952.84431,809
1738271953.65333,793
1738271954.4808,790
1738271954.97662,809
1738271955.39219,496
1738271956.23458,496
1738271956.58153,416
1738271957.20489,623
1738271957.59335,623
1738271958.28092,623
1738271959.07328,550
1738271959.62336,688
1738271960.06697,792
1738271961.11455,706
1738271962.02485,910
1738271962.73114,991
1738271963.83036,971
1738271964.82132,971
1738271965.79194,971
1738271966.73854,947
1738271967.16552,947
1738271967.80984,947
1738271968.77324,951
1738271969.79697,951
1738271970.74763,963
1738271971.55692,951
1738271972.81045,809
1738271973.36704,809
1738271973.67378,895
1738271974.56841,895
1738271975.64711,908
1738271976.55467,908
1738271977.64287,908
1738271978.27492,908
1738271978.61386,824
1738271979.60645,813
1738271980.43059,813
1738271981.24361,824
1738271981.57371,824
1738271982.47428,867
1738271983.3414,867
1738271984.53501,867
1738271985.18973,867
1738271985.50038,910
1738271986.41068,853
1738271987.46262,910
1738271988.31553,1013
1738271989.45186,1013
1738271990.46489,930
1738271991.39536,930
1738271992.03844,930
1738271992.34977,930
1738271993.48431,974
1738271994.45855,974
1738271995.5105,1052
1738271996.42151,974
1738271997.5311,911
1738271998.18462,911
1738271998.50233,1034
1738271999.54976,1003
1738272000.58419,1013
1738272001.58759,1033
1738272002.60056,1033
1738272003.63392,1013
1738272004.74077,1033
1738272005.73365,1066
1738272006.83158,1066
1738272007.89808,1022
1738272008.91963,1022
1738272009.37606,706
1738272009.97157,596
