LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1738271747.977576,717400.000,41787,1,TL,1,100,2025-01-30_14-15-42-869866
1738271747.979576,717402.000,41789,1,TL,1,100,2025-01-30_14-15-43-092769
1738271753.110730,722533.000,42579,1,TL,1,100,2025-01-30_14-15-48-101750
1738271753.112731,722535.000,42581,1,TL,1,100,2025-01-30_14-15-48-128226
1738271753.210733,722633.000,42584,1,TL,1,100,2025-01-30_14-15-53-200550
1738271758.242885,727665.000,43368,1,TL,1,100,2025-01-30_14-15-53-248971
1738271758.264886,727687.000,43371,1,TL,1,100,2025-01-30_14-15-58-255941
1738271763.350039,732772.000,44141,1,TL,1,100,2025-01-30_14-15-58-394384
1738271768.468194,737890.000,44936,1,TL,1,100,2025-01-30_14-16-03-576633
1738271768.471194,737893.000,44938,1,TL,1,100,2025-01-30_14-16-03-579818
1738271773.602348,743024.000,45729,1,TL,1,100,2025-01-30_14-16-08-612130
1738271773.605349,743027.000,45731,1,TL,1,100,2025-01-30_14-16-08-625779
1738271773.695351,743117.000,45734,1,TL,1,100,2025-01-30_14-16-13-684755
1738271778.724503,748146.000,46525,1,TL,1,100,2025-01-30_14-16-13-742301
1738271783.835657,753257.000,47313,1,TL,1,100,2025-01-30_14-16-18-873624
1738271783.841657,753263.000,47315,1,TL,1,100,2025-01-30_14-16-18-884188
1738271788.978812,758400.000,48106,1,TL,1,100,2025-01-30_14-16-23-882408
1738271788.981812,758403.000,48108,1,TL,1,100,2025-01-30_14-16-24-062928
1738271794.086966,763508.000,48882,1,TL,1,100,2025-01-30_14-16-29-205422
1738271794.088966,763510.000,48884,1,TL,1,100,2025-01-30_14-16-29-209658
1738271799.195120,768616.000,49664,1,TL,1,100,2025-01-30_14-16-34-101176
1738271799.200120,768621.000,49666,1,TL,1,100,2025-01-30_14-16-34-275734
1738271799.219121,768640.000,49669,1,TL,1,100,2025-01-30_14-16-39-211354
1738271804.340276,773761.000,50456,1,TL,1,100,2025-01-30_14-16-39-436963
