LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1738272009.346459,978761,16565,1,BI,1,100,900
1738272009.717470,979132,16636,1,BI,1,100,370
1738272010.590497,980005,16762,1,BI,1,100,860
1738272011.616528,981031,16922,1,BI,1,100,1020
1738272013.739592,983154,17250,1,BI,1,100,2100
1738272014.563617,983978,17382,1,BI,1,100,820
1738272015.473644,984888,17525,1,BI,1,100,900
1738272016.679680,986094,17715,1,BI,1,100,1190
1738272017.673710,987088,17873,1,BI,1,100,990
1738272018.676740,988091,18030,1,BI,1,100,990
1738272019.616769,989031,18177,1,BI,1,100,930
1738272020.575798,989990,18320,1,BI,1,100,950
1738272021.462825,990877,18464,1,BI,1,100,880
1738272022.639860,992054,18652,1,BI,1,100,1160
1738272023.575888,992990,18795,1,BI,1,100,930
1738272024.652921,994067,18953,1,BI,1,100,1070
1738272025.645951,995060,19115,1,BI,1,100,980
1738272027.759014,997173,19446,1,BI,1,100,2090
1738272029.692073,999106,19744,1,BI,1,100,1920
1738272030.659102,1000073,19889,1,BI,1,100,960
1738272031.595130,1001009,20033,1,BI,1,100,920
1738272032.419155,1001833,20160,1,BI,1,100,820
1738272033.679193,1003093,20365,1,BI,1,100,1250
1738272034.512218,1003926,20491,1,BI,1,100,820
1738272035.395245,1004809,20624,1,BI,1,100,880
1738272037.308302,1006722,20924,1,BI,1,100,1890
1738272038.321333,1007735,21081,1,BI,1,100,1000
1738272042.071446,1011485,21667,1,BI,1,100,3720
1738272043.138478,1012552,21840,1,BI,1,100,1050
1738272044.037505,1013451,21983,1,BI,1,100,890
1738272045.024535,1014438,22124,1,BI,1,100,980
1738272045.884561,1015298,22273,1,BI,1,100,850
1738272046.927593,1016341,22431,1,BI,1,100,1040
1738272048.014626,1017428,22603,1,BI,1,100,1070
1738272048.914653,1018328,22746,1,BI,1,100,890
1738272049.917683,1019331,22904,1,BI,1,100,1010
1738272050.867712,1020281,23036,1,BI,1,100,940
1738272051.917743,1021331,23210,1,BI,1,100,1040
1738272053.767799,1023181,23493,1,BI,1,100,1830
1738272054.803830,1024217,23650,1,BI,1,100,1020
1738272055.580854,1024994,23768,1,BI,1,100,770
1738272056.593884,1026007,23927,1,BI,1,100,1010
1738272057.693917,1027107,24101,1,BI,1,100,1090
1738272058.456940,1027870,24228,1,BI,1,100,750
1738272059.639976,1029053,24400,1,BI,1,100,1170
1738272060.550004,1029963,24543,1,BI,1,100,910
1738272061.583035,1030996,24708,1,BI,1,100,1020
1738272063.273086,1032686,24974,1,BI,1,100,1670
1738272064.363119,1033776,25147,1,BI,1,100,1080
1738272065.060140,1034473,25258,1,BI,1,100,690
1738272066.370179,1035783,25454,1,BI,1,100,1300
1738272066.913195,1036326,25549,1,BI,1,100,540
1738272068.146233,1037559,25738,1,BI,1,100,1220
1738272075.465453,1044878,26851,1,BI,1,100,7240
1738272076.412482,1045825,27003,1,BI,1,100,940
1738272081.435633,1050848,27775,1,BI,1,100,4980
1738272082.305660,1051718,27917,1,BI,1,100,860
1738272083.378692,1052791,28074,1,BI,1,100,1060
1738272085.384753,1054797,28387,1,BI,1,100,1990
1738272086.961800,1056374,28646,1,BI,1,100,1560
1738272087.851827,1057264,28787,1,BI,1,100,880
1738272088.801856,1058214,28930,1,BI,1,100,940
1738272090.797916,1060210,29246,1,BI,1,100,1980
