LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1738257641.392151,2131603,12051,1,SA,1,100,0.000015
1738257641.859172,2132070,12138,1,SA,1,100,0.000035
1738257642.392197,2132603,12187,1,SA,1,100,0.000003
1738257642.592206,2132803,12219,1,SA,1,100,0.000008
1738257642.926221,2133137,12285,1,SA,1,100,0.000005
1738257643.259236,2133470,12383,1,SA,1,100,0.000036
1738257643.725258,2133936,12448,1,SA,1,100,0.000034
1738257644.193279,2134404,12481,1,SA,1,100,0.000006
1738257644.393288,2134604,12560,1,SA,1,100,0.000038
1738257645.259328,2135470,12655,1,SA,1,100,0.000011
1738257645.593343,2135804,12751,1,SA,1,100,0.000041
1738257646.259373,2136470,12800,1,SA,1,100,0.000005
1738257646.458382,2136669,12882,1,SA,1,100,0.000029
1738257647.192416,2137403,12967,1,SA,1,100,0.000009
1738257647.459428,2137670,13015,1,SA,1,100,0.000012
1738257647.859446,2138070,13079,1,SA,1,100,0.000013
1738257648.259465,2138470,13174,1,SA,1,100,0.000046
1738257649.592525,2139803,13351,1,SA,1,100,0.000012
1738257649.858538,2140069,13399,1,SA,1,100,0.000027
1738257650.458565,2140669,13481,1,SA,1,100,0.000008
1738257650.725577,2140936,13514,1,SA,1,100,0.000003
1738257650.925586,2141136,13579,1,SA,1,100,0.000028
1738257651.458611,2141669,13645,1,SA,1,100,0.000014
1738257651.725623,2141936,13680,1,SA,1,100,0.000011
1738257651.925632,2142136,13749,1,SA,1,100,0.000041
1738257652.458656,2142669,13833,1,SA,1,100,0.000021
1738257653.391699,2143602,13993,1,SA,1,100,0.000055
1738257653.858720,2144069,14041,1,SA,1,100,0.000017
1738257654.391745,2144602,14138,1,SA,1,100,0.000014
1738257654.724760,2144935,14172,1,SA,1,100,0.000015
1738257655.258784,2145469,14268,1,SA,1,100,0.000032
1738257655.724805,2145935,14378,1,SA,1,100,0.000053
1738257656.391836,2146602,14429,1,SA,1,100,0.000007
1738257656.857857,2147068,14527,1,SA,1,100,0.000024
1738257657.191872,2147402,14566,1,SA,1,100,0.000011
1738257657.391881,2147602,14615,1,SA,1,100,0.000013
1738257658.057912,2148268,14712,1,SA,1,100,0.000011
1738257658.325924,2148536,14761,1,SA,1,100,0.000025
1738257659.324970,2149535,14905,1,SA,1,100,0.000008
1738257659.658985,2149869,15002,1,SA,1,100,0.000030
1738257660.525025,2150735,15097,1,SA,1,100,0.000015
1738257660.925043,2151135,15193,1,SA,1,100,0.000057
1738257661.325061,2151535,15227,1,SA,1,100,0.000020
1738257661.858085,2152068,15310,1,SA,1,100,0.000004
1738257662.058095,2152268,15344,1,SA,1,100,0.000008
1738257662.658122,2152868,15492,1,SA,1,100,0.000054
1738257663.592165,2153802,15588,1,SA,1,100,0.000015
1738257664.058186,2154268,15667,1,SA,1,100,0.000033
1738257664.725216,2154935,15826,1,SA,1,100,0.000061
1738257665.925271,2156135,16003,1,SA,1,100,0.000056
1738257666.591301,2156801,16035,1,SA,1,100,0.000013
1738257667.191329,2157401,16188,1,SA,1,100,0.000030
1738257667.658350,2157868,16240,1,SA,1,100,0.000018
1738257668.524390,2158734,16352,1,SA,1,100,0.000007
1738257668.857405,2159067,16480,1,SA,1,100,0.000047
1738257669.457432,2159667,16514,1,SA,1,100,0.000013
1738257669.791448,2160001,16563,1,SA,1,100,0.000008
1738257669.990457,2160200,16598,1,SA,1,100,0.000001
1738257670.324472,2160534,16662,1,SA,1,100,0.000018
1738257670.791493,2161001,16726,1,SA,1,100,0.000012
1738257671.257514,2161467,16822,1,SA,1,100,0.000016
1738257671.990548,2162200,16904,1,SA,1,100,0.000009
1738257672.190557,2162400,16989,1,SA,1,100,0.000040
1738257672.657578,2162867,17022,1,SA,1,100,0.000003
1738257672.990594,2163200,17070,1,SA,1,100,0.000005
1738257673.190603,2163400,17119,1,SA,1,100,0.000015
1738257673.991639,2164201,17276,1,SA,1,100,0.000024
1738257674.723673,2164933,17372,1,SA,1,100,0.000036
1738257675.523709,2165733,17468,1,SA,1,100,0.000006
1738257675.723718,2165933,17518,1,SA,1,100,0.000013
1738257675.990731,2166200,17567,1,SA,1,100,0.000026
1738257676.590758,2166800,17648,1,SA,1,100,0.000011
1738257676.790767,2167000,17683,1,SA,1,100,0.000012
1738257677.256788,2167466,17800,1,SA,1,100,0.000034
1738257677.723810,2167933,17882,1,SA,1,100,0.000043
1738257678.656852,2168866,17979,1,SA,1,100,0.000011
1738257678.856861,2169066,18012,1,SA,1,100,0.000024
1738257679.256880,2169466,18109,1,SA,1,100,0.000024
1738257679.656898,2169866,18159,1,SA,1,100,0.000024
1738257680.656944,2170866,18318,1,SA,1,100,0.000031
1738257681.256971,2171466,18398,1,SA,1,100,0.000025
1738257681.523983,2171733,18450,1,SA,1,100,0.000021
1738257681.924001,2172133,18515,1,SA,1,100,0.000015
1738257682.324020,2172533,18564,1,SA,1,100,0.000011
1738257682.524029,2172733,18598,1,SA,1,100,0.000015
1738257682.790041,2172999,18651,1,SA,1,100,0.000039
1738257683.458071,2173667,18748,1,SA,1,100,0.000016
1738257684.257108,2174466,18891,1,SA,1,100,0.000039
1738257684.923138,2175132,19019,1,SA,1,100,0.000040
1738257685.856181,2176065,19176,1,SA,1,100,0.000060
1738257686.590214,2176799,19225,1,SA,1,100,0.000005
1738257686.790224,2176999,19276,1,SA,1,100,0.000020
1738257687.324248,2177533,19341,1,SA,1,100,0.000009
1738257687.524257,2177733,19405,1,SA,1,100,0.000036
1738257688.456300,2178665,19587,1,SA,1,100,0.000056
1738257689.457345,2179666,19700,1,SA,1,100,0.000017
1738257689.723357,2179932,19733,1,SA,1,100,0.000007
1738257689.923367,2180132,19769,1,SA,1,100,0.000018
1738257690.190379,2180399,19833,1,SA,1,100,0.000028
1738257690.589397,2180798,19897,1,SA,1,100,0.000022
1738257690.990415,2181199,19947,1,SA,1,100,0.000019
1738257691.323431,2181532,20011,1,SA,1,100,0.000021
1738257691.790452,2181999,20063,1,SA,1,100,0.000006
1738257692.256473,2182465,20143,1,SA,1,100,0.000003
1738257692.456482,2182665,20209,1,SA,1,100,0.000046
1738257693.190516,2183399,20327,1,SA,1,100,0.000042
1738257693.923549,2184132,20471,1,SA,1,100,0.000052
1738257694.789589,2184998,20550,1,SA,1,100,0.000004
1738257695.123604,2185332,20617,1,SA,1,100,0.000015
1738257695.389616,2185598,20696,1,SA,1,100,0.000052
1738257695.922641,2186131,20746,1,SA,1,100,0.000030
1738257696.522668,2186731,20826,1,SA,1,100,0.000012
1738257696.722677,2186931,20892,1,SA,1,100,0.000037
1738257697.122695,2187331,20942,1,SA,1,100,0.000017
1738257697.456711,2187665,20992,1,SA,1,100,0.000021
1738257697.855729,2188064,21078,1,SA,1,100,0.000034
1738257698.322750,2188531,21144,1,SA,1,100,0.000018
