LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GY
1738257290.253121,1780480.000,20502,3,GY,1,100,0.275
1738257290.293123,1780520.000,20502,3,GY,1,100,0.214
1738257290.333125,1780560.000,20518,2,GY,1,100,-0.336
1738257290.373127,1780600.000,20518,2,GY,1,100,-0.122
1738257290.413129,1780640.000,20535,3,GY,1,100,0.061
1738257290.453130,1780680.000,20535,3,GY,1,100,0.031
1738257290.493132,1780720.000,20535,3,GY,1,100,0.488
1738257290.533134,1780760.000,20551,2,GY,1,100,0.244
1738257290.573136,1780800.000,20551,2,GY,1,100,0.305
1738257290.613138,1780840.000,20568,3,GY,1,100,-0.031
1738257290.653140,1780880.000,20568,3,GY,1,100,0.183
1738257290.693141,1780920.000,20568,3,GY,1,100,0.336
1738257290.733143,1780960.000,20585,2,GY,1,100,0.336
1738257290.773145,1781000.000,20585,2,GY,1,100,0.275
1738257290.813147,1781040.000,20601,3,GY,1,100,-0.061
1738257290.853149,1781080.000,20601,3,GY,1,100,0.977
1738257290.893151,1781120.000,20601,3,GY,1,100,0.244
1738257290.933152,1781160.000,20617,2,GY,1,100,0.275
1738257290.973154,1781200.000,20617,2,GY,1,100,0.275
1738257291.013156,1781240.000,20635,3,GY,1,100,0.488
1738257291.053158,1781280.000,20635,3,GY,1,100,0.519
1738257291.093160,1781320.000,20635,3,GY,1,100,0.305
1738257291.133162,1781360.000,20651,3,GY,1,100,0.305
1738257291.173163,1781400.000,20651,3,GY,1,100,0.671
1738257291.213165,1781440.000,20651,3,GY,1,100,0.275
1738257291.253167,1781480.000,20667,2,GY,1,100,0.519
1738257291.293169,1781520.000,20667,2,GY,1,100,0.519
1738257291.333171,1781560.000,20684,3,GY,1,100,0.275
1738257291.373173,1781600.000,20684,3,GY,1,100,0.519
1738257291.413174,1781640.000,20684,3,GY,1,100,0.305
1738257291.453176,1781680.000,20701,2,GY,1,100,0.610
1738257291.493178,1781720.000,20701,2,GY,1,100,0.397
1738257291.533180,1781760.000,20717,3,GY,1,100,0.519
1738257291.573182,1781800.000,20717,3,GY,1,100,0.885
1738257291.613183,1781840.000,20717,3,GY,1,100,0.793
1738257291.653185,1781880.000,20733,2,GY,1,100,-0.092
1738257291.693187,1781920.000,20733,2,GY,1,100,0.793
1738257291.733189,1781960.000,20754,3,GY,1,100,0.244
1738257291.773191,1782000.000,20754,3,GY,1,100,0.519
1738257291.813193,1782040.000,20754,3,GY,1,100,0.488
1738257291.853194,1782080.000,20771,2,GY,1,100,0.671
1738257291.893196,1782120.000,20771,2,GY,1,100,0.458
1738257291.933198,1782160.000,20787,3,GY,1,100,0.153
