LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,DC
1738257286.460198,1776687.250,19869,4,DC,2,100,EA
1738257286.485449,1776712.500,19869,4,DC,2,100,1
1738257286.510700,1776737.750,19869,4,DC,2,100,EL
1738257286.535952,1776763.000,19869,4,DC,2,100,1
1738257286.562453,1776789.500,19887,4,DC,2,100,EA
1738257286.588954,1776816.000,19887,4,DC,2,100,2
1738257286.615455,1776842.500,19887,4,DC,2,100,EL
1738257286.641957,1776869.000,19887,4,DC,2,100,2
1738257286.665958,1776893.000,19903,4,DC,2,100,EA
1738257286.689959,1776917.000,19903,4,DC,2,100,1
1738257286.713960,1776941.000,19903,4,DC,2,100,EL
1738257286.737961,1776965.000,19903,4,DC,2,100,1
1738257286.763962,1776991.000,19923,4,DC,2,100,EA
1738257286.789963,1777017.000,19923,4,DC,2,100,2
1738257286.815964,1777043.000,19923,4,DC,2,100,EL
1738257286.841966,1777069.000,19923,4,DC,2,100,2
1738257286.866717,1777093.750,19939,4,DC,2,100,EA
1738257286.891468,1777118.500,19939,4,DC,2,100,1
1738257286.916219,1777143.250,19939,4,DC,2,100,EL
1738257286.940970,1777168.000,19939,4,DC,2,100,1
1738257286.966221,1777193.250,19956,4,DC,2,100,EA
1738257286.991472,1777218.500,19956,4,DC,2,100,2
1738257287.016724,1777243.750,19956,4,DC,2,100,EL
1738257287.041975,1777269.000,19956,4,DC,2,100,2
1738257287.067476,1777294.500,19972,4,DC,2,100,EA
1738257287.092977,1777320.000,19972,4,DC,2,100,1
1738257287.118478,1777345.500,19972,4,DC,2,100,EL
1738257287.143980,1777371.000,19972,4,DC,2,100,1
1738257287.168981,1777396.000,19989,4,DC,2,100,EA
1738257287.193982,1777421.000,19989,4,DC,2,100,2
1738257287.218983,1777446.000,19989,4,DC,2,100,EL
1738257287.243984,1777471.000,19989,4,DC,2,100,2
1738257287.269735,1777496.750,20005,4,DC,2,100,EA
1738257287.295486,1777522.500,20005,4,DC,2,100,2
1738257287.321238,1777548.250,20005,4,DC,2,100,EL
1738257287.346989,1777574.000,20005,4,DC,2,100,2
1738257287.372490,1777599.500,20023,4,DC,2,100,EA
1738257287.397991,1777625.000,20023,4,DC,2,100,1
1738257287.423492,1777650.500,20023,4,DC,2,100,EL
1738257287.448993,1777676.000,20023,4,DC,2,100,1
1738257287.473994,1777701.000,20038,4,DC,2,100,EA
1738257287.498996,1777726.000,20038,4,DC,2,100,2
1738257287.523997,1777751.000,20038,4,DC,2,100,EL
1738257287.548998,1777776.000,20038,4,DC,2,100,2
1738257287.574249,1777801.250,20055,4,DC,2,100,EA
1738257287.599500,1777826.500,20055,4,DC,2,100,1
1738257287.624751,1777851.750,20055,4,DC,2,100,EL
1738257287.650002,1777877.000,20055,4,DC,2,100,1
1738257287.675254,1777902.250,20072,4,DC,2,100,EA
1738257287.700505,1777927.500,20072,4,DC,2,100,2
1738257287.725756,1777952.750,20072,4,DC,2,100,EL
1738257287.751007,1777978.000,20072,4,DC,2,100,2
1738257287.776758,1778003.750,20089,4,DC,2,100,EA
1738257287.802510,1778029.500,20089,4,DC,2,100,1
1738257287.828261,1778055.250,20089,4,DC,2,100,EL
1738257287.854012,1778081.000,20089,4,DC,2,100,1
1738257287.879263,1778106.250,20104,4,DC,2,100,EA
1738257287.904514,1778131.500,20104,4,DC,2,100,2
1738257287.929765,1778156.750,20104,4,DC,2,100,EL
1738257287.955017,1778182.000,20104,4,DC,2,100,2
1738257287.980268,1778207.250,20121,4,DC,2,100,EA
1738257288.005519,1778232.500,20121,4,DC,2,100,1
1738257288.030770,1778257.750,20121,4,DC,2,100,EL
1738257288.056021,1778283.000,20121,4,DC,2,100,1
1738257288.082272,1778309.250,20138,4,DC,2,100,EA
1738257288.108524,1778335.500,20138,4,DC,2,100,2
1738257288.134775,1778361.750,20138,4,DC,2,100,EL
1738257288.161026,1778388.000,20138,4,DC,2,100,2
1738257288.185527,1778412.500,20155,4,DC,2,100,EA
1738257288.210028,1778437.000,20155,4,DC,2,100,1
1738257288.234529,1778461.500,20155,4,DC,2,100,EL
1738257288.259030,1778486.000,20155,4,DC,2,100,1
1738257288.284532,1778511.500,20170,4,DC,2,100,EA
1738257288.310033,1778537.000,20170,4,DC,2,100,2
1738257288.335534,1778562.500,20170,4,DC,2,100,EL
1738257288.361035,1778588.000,20170,4,DC,2,100,2
1738257288.389536,1778616.500,20193,4,DC,2,100,EA
1738257288.418038,1778645.000,20193,4,DC,2,100,1
1738257288.446539,1778673.500,20193,4,DC,2,100,EL
1738257288.475040,1778702.000,20193,4,DC,2,100,1
1738257288.500041,1778727.000,20209,4,DC,2,100,EA
1738257288.525043,1778752.000,20209,4,DC,2,100,2
