LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1738257933.565405,2379068.000,52321,2,RD,1,100,TL
1738257936.134514,2381637.000,52321,2,RD,1,100,TU
1738257938.702623,2384205.000,53163,2,RD,1,100,TL
1738257941.270732,2386773.000,53163,2,RD,1,100,TU
1738257943.846842,2389349.000,53985,2,RD,1,100,TL
1738257946.422951,2391925.000,53985,2,RD,1,100,TU
1738257948.978060,2394480.000,54806,2,RD,1,100,TL
1738257951.533168,2397035.000,54806,2,RD,1,100,TU
1738257954.085777,2399587.500,55626,2,RD,1,100,TL
1738257956.638385,2402140.000,55626,2,RD,1,100,TU
1738257959.192994,2404694.500,56383,2,RD,1,100,TL
1738257961.747602,2407249.000,56383,2,RD,1,100,TU
1738257964.311211,2409812.500,57221,2,RD,1,100,TL
1738257966.874820,2412376.000,57221,2,RD,1,100,TU
1738257969.440929,2414942.000,58063,2,RD,1,100,TL
1738257972.007039,2417508.000,58063,2,RD,1,100,TU
1738257974.560647,2420061.500,58887,2,RD,1,100,TL
1738257977.114256,2422615.000,58887,2,RD,1,100,TU
1738257979.679865,2425180.500,59732,2,RD,1,100,TL
1738257982.245474,2427746.000,59732,2,RD,1,100,TU
1738257984.811583,2430312.000,60574,2,RD,1,100,TL
1738257987.377692,2432878.000,60574,2,RD,1,100,TU
1738257989.945801,2435446.000,61411,2,RD,1,100,TL
1738257992.513910,2438014.000,61411,2,RD,1,100,TU
1738257995.075519,2440575.500,62250,2,RD,1,100,TL
1738257997.637128,2443137.000,62250,2,RD,1,100,TU
1738258000.202237,2445702.000,63092,2,RD,1,100,TL
1738258002.767346,2448267.000,63092,2,RD,1,100,TU
1738258005.336955,2450836.500,63933,2,RD,1,100,TL
1738258007.906564,2453406.000,63933,2,RD,1,100,TU
1738258010.462673,2455962.000,64754,2,RD,1,100,TL
1738258013.018781,2458518.000,64754,2,RD,1,100,TU
1738258015.578390,2461077.500,54,2,RD,1,100,TL
1738258018.137999,2463637.000,54,2,RD,1,100,TU
1738258020.691607,2466190.500,894,2,RD,1,100,TL
1738258023.245216,2468744.000,894,2,RD,1,100,TU
1738258025.799325,2471298.000,1731,2,RD,1,100,TL
1738258028.353433,2473852.000,1731,2,RD,1,100,TU
1738258030.915042,2476413.500,2569,2,RD,1,100,TL
1738258033.476651,2478975.000,2569,2,RD,1,100,TU
1738258036.027759,2481526.000,3410,2,RD,1,100,TL
1738258038.578868,2484077.000,3410,2,RD,1,100,TU
1738258041.144977,2486643.000,4247,2,RD,1,100,TL
1738258043.711086,2489209.000,4247,2,RD,1,100,TU
1738258046.264194,2491762.000,5082,2,RD,1,100,TL
1738258048.817303,2494315.000,5082,2,RD,1,100,TU
1738258051.383912,2496881.500,5918,2,RD,1,100,TL
1738258053.950521,2499448.000,5918,2,RD,1,100,TU
1738258056.521630,2502019.000,6758,2,RD,1,100,TL
1738258059.092740,2504590.000,6758,2,RD,1,100,TU
1738258061.644348,2507141.500,7602,2,RD,1,100,TL
1738258064.195956,2509693.000,7602,2,RD,1,100,TU
1738258066.751565,2512248.500,8442,2,RD,1,100,TL
1738258069.307174,2514804.000,8442,2,RD,1,100,TU
1738258071.859782,2517356.500,9263,2,RD,1,100,TL
1738258074.412391,2519909.000,9263,2,RD,1,100,TU
1738258246.560707,2692050.000,205,2,RD,1,100,TL
1738258418.709023,2864191.000,205,2,RD,1,100,TU
1738258421.266132,2866748.000,1029,2,RD,1,100,TL
1738258423.823241,2869305.000,1029,2,RD,1,100,TU
1738258426.395350,2871877.000,1886,2,RD,1,100,TL
1738258428.967459,2874449.000,1886,2,RD,1,100,TU
1738258431.521568,2877003.000,2727,2,RD,1,100,TL
1738258434.075676,2879557.000,2727,2,RD,1,100,TU
1738258436.630285,2882111.500,3564,2,RD,1,100,TL
1738258439.184893,2884666.000,3564,2,RD,1,100,TU
1738258441.762503,2887243.500,4426,2,RD,1,100,TL
1738258444.340112,2889821.000,4426,2,RD,1,100,TU
1738258446.912722,2892393.500,5267,2,RD,1,100,TL
1738258449.485331,2894966.000,5267,2,RD,1,100,TU
1738258452.047440,2897528.000,6111,2,RD,1,100,TL
1738258454.609549,2900090.000,6111,2,RD,1,100,TU
1738258457.164157,2902644.500,6950,2,RD,1,100,TL
1738258459.718766,2905199.000,6950,2,RD,1,100,TU
1738258462.271874,2907752.000,7791,2,RD,1,100,TL
1738258464.824983,2910305.000,7791,2,RD,1,100,TU
1738258467.398592,2912878.500,8639,2,RD,1,100,TL
1738258469.972202,2915452.000,8639,2,RD,1,100,TU
1738258472.523810,2918003.500,9478,2,RD,1,100,TL
1738258475.075419,2920555.000,9478,2,RD,1,100,TU
1738258477.629527,2923109.000,10317,2,RD,1,100,TL
1738258480.183636,2925663.000,10317,2,RD,1,100,TU
1738258482.760745,2928240.000,11164,2,RD,1,100,TL
1738258485.337855,2930817.000,11164,2,RD,1,100,TU
1738258487.897964,2933377.000,12004,2,RD,1,100,TL
1738258490.458072,2935937.000,12004,2,RD,1,100,TU
1738258493.012181,2938491.000,12845,2,RD,1,100,TL
1738258495.566289,2941045.000,12845,2,RD,1,100,TU
1738258498.118898,2943597.500,13685,2,RD,1,100,TL
1738258500.671506,2946150.000,13685,2,RD,1,100,TU
1738258503.225615,2948704.000,14522,2,RD,1,100,TL
1738258505.779724,2951258.000,14522,2,RD,1,100,TU
1738258508.340332,2953818.500,15363,2,RD,1,100,TL
1738258510.900941,2956379.000,15363,2,RD,1,100,TU
1738258513.467050,2958945.000,16204,2,RD,1,100,TL
1738258516.033159,2961511.000,16204,2,RD,1,100,TU
1738258518.592768,2964070.500,17024,2,RD,1,100,TL
1738258521.152377,2966630.000,17024,2,RD,1,100,TU
1738258523.714486,2969192.000,17861,2,RD,1,100,TL
1738258526.276595,2971754.000,17861,2,RD,1,100,TU
1738258528.829203,2974306.500,18705,2,RD,1,100,TL
1738258531.381812,2976859.000,18705,2,RD,1,100,TU
1738258533.947421,2979424.500,19548,2,RD,1,100,TL
1738258536.513030,2981990.000,19548,2,RD,1,100,TU
1738258539.083139,2984560.000,20385,2,RD,1,100,TL
1738258541.653248,2987130.000,20385,2,RD,1,100,TU
1738258544.204357,2989681.000,21223,2,RD,1,100,TL
1738258546.755465,2992232.000,21223,2,RD,1,100,TU
1738258549.312574,2994789.000,22029,2,RD,1,100,TL
1738258551.869682,2997346.000,22029,2,RD,1,100,TU
1738258554.424291,2999900.500,22857,2,RD,1,100,TL
1738258556.978899,3002455.000,22857,2,RD,1,100,TU
1738258559.662513,3005138.500,23667,2,RD,1,100,TL
1738258562.346128,3007822.000,23667,2,RD,1,100,TU
1738258564.906736,3010382.500,24493,2,RD,1,100,TL
1738258567.467345,3012943.000,24493,2,RD,1,100,TU
1738258570.020454,3015496.000,25339,2,RD,1,100,TL
1738258572.573562,3018049.000,25339,2,RD,1,100,TU
1738258575.127171,3020602.500,26176,2,RD,1,100,TL
1738258577.680779,3023156.000,26176,2,RD,1,100,TU
1738258580.235388,3025710.500,27015,2,RD,1,100,TL
1738258582.789996,3028265.000,27015,2,RD,1,100,TU
