LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1738257299.256853,1802455.000,6632,1,T1,1,100,32.590
1738257299.389858,1802588.000,6649,1,T1,1,100,32.645
1738257299.522863,1802721.000,6664,1,T1,1,100,32.669
1738257299.655868,1802854.000,6695,1,T1,1,100,32.680
1738257299.789873,1802988.000,6711,1,T1,1,100,32.578
1738257299.922878,1803121.000,6726,1,T1,1,100,32.605
1738257300.056883,1803255.000,6757,1,T1,1,100,32.616
1738257300.189888,1803388.000,6776,1,T1,1,100,32.728
1738257300.322892,1803521.000,6792,1,T1,1,100,32.669
1738257300.455897,1803654.000,6808,1,T1,1,100,32.715
1738257300.589902,1803788.000,6823,1,T1,1,100,32.664
1738257300.722907,1803921.000,6854,1,T1,1,100,32.606
1738257300.855912,1804054.000,6870,1,T1,1,100,32.582
1738257300.989917,1804188.000,6887,1,T1,1,100,32.606
1738257301.122922,1804321.000,6918,1,T1,1,100,32.652
1738257301.255927,1804454.000,6934,1,T1,1,100,32.779
1738257301.389932,1804588.000,6950,1,T1,1,100,32.691
1738257301.522937,1804721.000,6966,1,T1,1,100,32.760
1738257301.655941,1804854.000,6997,1,T1,1,100,32.790
1738257301.789947,1804988.000,7012,1,T1,1,100,32.661
1738257301.922951,1805121.000,7028,1,T1,1,100,32.641
1738257302.055956,1805254.000,7061,1,T1,1,100,32.703
1738257302.189961,1805388.000,7076,1,T1,1,100,32.623
1738257302.322966,1805521.000,7092,1,T1,1,100,32.660
1738257302.455971,1805654.000,7123,1,T1,1,100,32.534
1738257302.589976,1805788.000,7138,1,T1,1,100,32.550
1738257302.722981,1805921.000,7155,1,T1,1,100,32.628
1738257302.855986,1806054.000,7185,1,T1,1,100,32.591
1738257302.989991,1806188.000,7202,1,T1,1,100,32.504
1738257303.122996,1806321.000,7219,1,T1,1,100,32.573
1738257303.256001,1806454.000,7249,1,T1,1,100,32.531
1738257303.389005,1806587.000,7265,1,T1,1,100,32.691
1738257303.523010,1806721.000,7281,1,T1,1,100,32.512
1738257303.656015,1806854.000,7296,1,T1,1,100,32.505
1738257303.789020,1806987.000,7329,1,T1,1,100,32.715
1738257303.923025,1807121.000,7345,1,T1,1,100,32.699
1738257304.056030,1807254.000,7361,1,T1,1,100,32.551
1738257304.189035,1807387.000,7393,1,T1,1,100,32.522
1738257304.323040,1807521.000,7409,1,T1,1,100,32.510
1738257304.456045,1807654.000,7425,1,T1,1,100,32.575
1738257304.589050,1807787.000,7455,1,T1,1,100,32.568
1738257304.723054,1807921.000,7472,1,T1,1,100,32.636
1738257304.856059,1808054.000,7487,1,T1,1,100,32.701
1738257304.989064,1808187.000,7518,1,T1,1,100,32.658
1738257305.123069,1808321.000,7534,1,T1,1,100,32.568
1738257305.256074,1808454.000,7549,1,T1,1,100,32.707
1738257305.389079,1808587.000,7571,1,T1,1,100,32.660
1738257305.523084,1808721.000,7586,1,T1,1,100,32.711
1738257305.656089,1808854.000,7617,1,T1,1,100,32.662
1738257305.789094,1808987.000,7633,1,T1,1,100,32.677
1738257305.923099,1809121.000,7648,1,T1,1,100,32.718
1738257306.056103,1809254.000,7681,1,T1,1,100,32.665
1738257306.189108,1809387.000,7697,1,T1,1,100,32.642
1738257306.323113,1809521.000,7712,1,T1,1,100,32.633
1738257306.456118,1809654.000,7743,1,T1,1,100,32.770
1738257306.589123,1809787.000,7759,1,T1,1,100,32.688
1738257306.722128,1809920.000,7775,1,T1,1,100,32.794
1738257306.856133,1810054.000,7791,1,T1,1,100,32.734
1738257306.989138,1810187.000,7823,1,T1,1,100,32.672
1738257307.122143,1810320.000,7839,1,T1,1,100,32.752
1738257307.256148,1810454.000,7855,1,T1,1,100,32.644
1738257307.389153,1810587.000,7886,1,T1,1,100,32.669
1738257307.522157,1810720.000,7901,1,T1,1,100,32.609
