LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1738260752.672534,605204.500,29627,2,EL,1,100,-13366.400391
1738260752.739037,605271.000,29627,2,EL,1,100,-13367.000000
1738260752.806039,605338.000,29645,1,EL,1,100,-13367.200195
1738260752.872542,605404.500,29660,2,EL,1,100,-13367.599609
1738260752.939044,605471.000,29660,2,EL,1,100,-13368.400391
1738260753.005547,605537.500,29676,2,EL,1,100,-13369.200195
1738260753.072049,605604.000,29676,2,EL,1,100,-13369.599609
1738260753.139052,605671.000,29691,1,EL,1,100,-13369.799805
1738260753.205554,605737.500,29707,2,EL,1,100,-13371.000000
1738260753.272057,605804.000,29707,2,EL,1,100,-13371.799805
1738260753.339060,605871.000,29724,1,EL,1,100,-13372.000000
1738260753.405562,605937.500,29740,2,EL,1,100,-13373.000000
1738260753.472065,606004.000,29740,2,EL,1,100,-13373.400391
1738260753.539067,606071.000,29760,1,EL,1,100,-13374.400391
1738260753.605570,606137.500,29778,2,EL,1,100,-13374.599609
1738260753.672072,606204.000,29778,2,EL,1,100,-13374.400391
1738260753.739075,606271.000,29794,1,EL,1,100,-13374.400391
1738260753.805577,606337.500,29809,2,EL,1,100,-13375.400391
1738260753.872080,606404.000,29809,2,EL,1,100,-13376.599609
1738260753.939082,606471.000,29824,1,EL,1,100,-13377.000000
1738260754.005585,606537.500,29841,2,EL,1,100,-13377.599609
1738260754.072088,606604.000,29841,2,EL,1,100,-13378.000000
1738260754.139090,606671.000,29856,1,EL,1,100,-13378.799805
1738260754.205592,606737.500,29871,2,EL,1,100,-13379.799805
1738260754.272095,606804.000,29871,2,EL,1,100,-13380.000000
1738260754.339097,606871.000,29886,1,EL,1,100,-13381.000000
1738260754.405600,606937.500,29903,2,EL,1,100,-13382.000000
1738260754.472103,607004.000,29903,2,EL,1,100,-13382.400391
1738260754.539105,607071.000,29918,1,EL,1,100,-13383.200195
1738260754.605608,607137.500,29936,2,EL,1,100,-13384.000000
1738260754.672110,607204.000,29936,2,EL,1,100,-13384.000000
1738260754.738613,607270.500,29953,2,EL,1,100,-13384.799805
1738260754.805115,607337.000,29953,2,EL,1,100,-13385.400391
1738260754.872118,607404.000,29969,1,EL,1,100,-13386.200195
1738260754.938620,607470.500,29986,2,EL,1,100,-13387.200195
1738260755.005123,607537.000,29986,2,EL,1,100,-13387.000000
1738260755.072125,607604.000,30003,1,EL,1,100,-13387.200195
1738260755.138628,607670.500,30017,2,EL,1,100,-13387.799805
1738260755.205130,607737.000,30017,2,EL,1,100,-13388.000000
1738260755.272133,607804.000,30033,1,EL,1,100,-13388.000000
1738260755.338635,607870.500,30051,2,EL,1,100,-13389.200195
