LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1738257280.474291,1753540.000,16316,11,PI,1,100,164807
1738257280.484736,1753550.444,16332,9,PI,1,100,164801
1738257280.495181,1753560.889,16332,9,PI,1,100,164822
1738257280.505625,1753571.333,16332,9,PI,1,100,164835
1738257280.516070,1753581.778,16332,9,PI,1,100,164816
1738257280.526515,1753592.222,16332,9,PI,1,100,164805
1738257280.536960,1753602.667,16332,9,PI,1,100,164835
1738257280.547405,1753613.111,16332,9,PI,1,100,164818
1738257280.557850,1753623.556,16332,9,PI,1,100,164837
1738257280.568295,1753634.000,16332,9,PI,1,100,164851
1738257280.577932,1753643.636,16349,11,PI,1,100,164791
1738257280.587569,1753653.273,16349,11,PI,1,100,164795
1738257280.597205,1753662.909,16349,11,PI,1,100,164812
1738257280.606842,1753672.545,16349,11,PI,1,100,164837
1738257280.616479,1753682.182,16349,11,PI,1,100,164805
1738257280.626116,1753691.818,16349,11,PI,1,100,164838
1738257280.635752,1753701.455,16349,11,PI,1,100,164812
1738257280.645389,1753711.091,16349,11,PI,1,100,164788
1738257280.655026,1753720.727,16349,11,PI,1,100,164810
1738257280.664663,1753730.364,16349,11,PI,1,100,164826
1738257280.674299,1753740.000,16349,11,PI,1,100,164816
1738257280.685000,1753750.700,16366,10,PI,1,100,164769
1738257280.695700,1753761.400,16366,10,PI,1,100,164760
1738257280.706401,1753772.100,16366,10,PI,1,100,164834
1738257280.717101,1753782.800,16366,10,PI,1,100,164801
1738257280.727802,1753793.500,16366,10,PI,1,100,164816
1738257280.738502,1753804.200,16366,10,PI,1,100,164775
1738257280.749203,1753814.900,16366,10,PI,1,100,164809
1738257280.759903,1753825.600,16366,10,PI,1,100,164766
1738257280.770604,1753836.300,16366,10,PI,1,100,164810
1738257280.781304,1753847.000,16366,10,PI,1,100,164831
1738257280.790704,1753856.400,16382,10,PI,1,100,164824
1738257280.800105,1753865.800,16382,10,PI,1,100,164809
1738257280.809505,1753875.200,16382,10,PI,1,100,164795
1738257280.818906,1753884.600,16382,10,PI,1,100,164823
1738257280.828306,1753894.000,16382,10,PI,1,100,164834
1738257280.837707,1753903.400,16382,10,PI,1,100,164808
1738257280.847107,1753912.800,16382,10,PI,1,100,164797
1738257280.856508,1753922.200,16382,10,PI,1,100,164775
1738257280.865908,1753931.600,16382,10,PI,1,100,164824
1738257280.875308,1753941.000,16382,10,PI,1,100,164784
1738257280.885909,1753951.600,16398,10,PI,1,100,164811
1738257280.896509,1753962.200,16398,10,PI,1,100,164801
1738257280.907110,1753972.800,16398,10,PI,1,100,164835
1738257280.917710,1753983.400,16398,10,PI,1,100,164791
1738257280.928311,1753994.000,16398,10,PI,1,100,164791
1738257280.938911,1754004.600,16398,10,PI,1,100,164828
1738257280.949512,1754015.200,16398,10,PI,1,100,164825
1738257280.960112,1754025.800,16398,10,PI,1,100,164787
1738257280.970712,1754036.400,16398,10,PI,1,100,164775
1738257280.981313,1754047.000,16398,10,PI,1,100,164815
1738257280.990613,1754056.300,16415,10,PI,1,100,164807
1738257280.999914,1754065.600,16415,10,PI,1,100,164781
1738257281.009214,1754074.900,16415,10,PI,1,100,164800
1738257281.018514,1754084.200,16415,10,PI,1,100,164822
1738257281.027815,1754093.500,16415,10,PI,1,100,164805
1738257281.037115,1754102.800,16415,10,PI,1,100,164802
1738257281.046416,1754112.100,16415,10,PI,1,100,164798
1738257281.055716,1754121.400,16415,10,PI,1,100,164825
1738257281.065017,1754130.700,16415,10,PI,1,100,164782
1738257281.074317,1754140.000,16415,10,PI,1,100,164822
1738257281.085017,1754150.700,16432,10,PI,1,100,164802
1738257281.095718,1754161.400,16432,10,PI,1,100,164757
1738257281.106418,1754172.100,16432,10,PI,1,100,164797
1738257281.117119,1754182.800,16432,10,PI,1,100,164820
1738257281.127819,1754193.500,16432,10,PI,1,100,164801
1738257281.138520,1754204.200,16432,10,PI,1,100,164795
1738257281.149220,1754214.900,16432,10,PI,1,100,164837
1738257281.159921,1754225.600,16432,10,PI,1,100,164783
1738257281.170621,1754236.300,16432,10,PI,1,100,164809
