LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
1738257281.981357,1755047.000,16579,2,MZ,1,100,-22
1738257282.021358,1755087.000,16597,3,MZ,1,100,-23
1738257282.061360,1755127.000,16597,3,MZ,1,100,-21
1738257282.101362,1755167.000,16597,3,MZ,1,100,-23
1738257282.141364,1755207.000,16613,2,MZ,1,100,-25
1738257282.181365,1755247.000,16613,2,MZ,1,100,-22
1738257282.221367,1755287.000,16630,3,MZ,1,100,-23
1738257282.261369,1755327.000,16630,3,MZ,1,100,-24
1738257282.301371,1755367.000,16630,3,MZ,1,100,-22
1738257282.341372,1755407.000,16645,2,MZ,1,100,-23
1738257282.381374,1755447.000,16645,2,MZ,1,100,-25
1738257282.421376,1755487.000,16663,3,MZ,1,100,-21
1738257282.461378,1755527.000,16663,3,MZ,1,100,-23
1738257282.501379,1755567.000,16663,3,MZ,1,100,-23
1738257282.541381,1755607.000,16679,2,MZ,1,100,-22
1738257282.581383,1755647.000,16679,2,MZ,1,100,-22
1738257282.625718,1755691.333,16696,3,MZ,1,100,-24
1738257282.670053,1755735.667,16696,3,MZ,1,100,-21
1738257282.714389,1755780.000,16696,3,MZ,1,100,-22
1738257282.754390,1755820.000,16713,2,MZ,1,100,-24
1738257282.794392,1755860.000,16713,2,MZ,1,100,-22
1738257282.834394,1755900.000,16729,3,MZ,1,100,-22
1738257282.874396,1755940.000,16729,3,MZ,1,100,-24
1738257282.914397,1755980.000,16729,3,MZ,1,100,-21
1738257282.954399,1756020.000,16745,2,MZ,1,100,-23
1738257282.994401,1756060.000,16745,2,MZ,1,100,-24
1738257283.034403,1756100.000,16763,3,MZ,1,100,-22
1738257283.074404,1756140.000,16763,3,MZ,1,100,-25
1738257283.114406,1756180.000,16763,3,MZ,1,100,-23
1738257283.154408,1756220.000,16779,2,MZ,1,100,-22
1738257283.194410,1756260.000,16779,2,MZ,1,100,-22
1738257283.234411,1756300.000,16795,3,MZ,1,100,-23
1738257283.274413,1756340.000,16795,3,MZ,1,100,-22
1738257283.314415,1756380.000,16795,3,MZ,1,100,-25
1738257283.354417,1756420.000,16812,2,MZ,1,100,-24
1738257283.394418,1756460.000,16812,2,MZ,1,100,-21
1738257283.434420,1756500.000,16829,3,MZ,1,100,-23
1738257283.474422,1756540.000,16829,3,MZ,1,100,-24
1738257283.514424,1756580.000,16829,3,MZ,1,100,-22
1738257283.554425,1756620.000,16845,2,MZ,1,100,-25
1738257283.594427,1756660.000,16845,2,MZ,1,100,-23
1738257283.634429,1756700.000,16861,3,MZ,1,100,-20
1738257283.674431,1756740.000,16861,3,MZ,1,100,-23
1738257283.714432,1756780.000,16861,3,MZ,1,100,-23
1738257283.754434,1756820.000,16878,2,MZ,1,100,-22
1738257283.794436,1756860.000,16878,2,MZ,1,100,-24
1738257283.834438,1756900.000,16895,3,MZ,1,100,-23
1738257283.874439,1756940.000,16895,3,MZ,1,100,-22
1738257283.914441,1756980.000,16895,3,MZ,1,100,-23
1738257283.960943,1757026.500,16911,2,MZ,1,100,-23
1738257284.007445,1757073.000,16911,2,MZ,1,100,-20
1738257284.047447,1757113.000,16928,3,MZ,1,100,-23
1738257284.087449,1757153.000,16928,3,MZ,1,100,-24
1738257284.127450,1757193.000,16928,3,MZ,1,100,-21
1738257284.167452,1757233.000,16944,2,MZ,1,100,-24
1738257284.207454,1757273.000,16944,2,MZ,1,100,-23
1738257284.247456,1757313.000,16961,3,MZ,1,100,-21
1738257284.287457,1757353.000,16961,3,MZ,1,100,-25
1738257284.327459,1757393.000,16961,3,MZ,1,100,-23
1738257284.367461,1757433.000,16978,2,MZ,1,100,-21
1738257284.407463,1757473.000,16978,2,MZ,1,100,-23
1738257284.447464,1757513.000,16994,3,MZ,1,100,-23
1738257284.487466,1757553.000,16994,3,MZ,1,100,-21
1738257284.527468,1757593.000,16994,3,MZ,1,100,-24
1738257284.567470,1757633.000,17010,2,MZ,1,100,-23
1738257284.607471,1757673.000,17010,2,MZ,1,100,-22
1738257284.647473,1757713.000,17027,3,MZ,1,100,-23
1738257284.687475,1757753.000,17027,3,MZ,1,100,-23
1738257284.727477,1757793.000,17027,3,MZ,1,100,-21
1738257284.767478,1757833.000,17044,2,MZ,1,100,-23
1738257284.807480,1757873.000,17044,2,MZ,1,100,-23
1738257284.847482,1757913.000,17061,3,MZ,1,100,-21
1738257284.887484,1757953.000,17061,3,MZ,1,100,-24
1738257284.927485,1757993.000,17061,3,MZ,1,100,-22
1738257284.967487,1758033.000,17076,3,MZ,1,100,-22
1738257285.007489,1758073.000,17076,3,MZ,1,100,-24
1738257285.047491,1758113.000,17076,3,MZ,1,100,-22
1738257285.087492,1758153.000,17099,2,MZ,1,100,-22
1738257285.127494,1758193.000,17099,2,MZ,1,100,-23
1738257285.167996,1758233.500,17115,2,MZ,1,100,-21
1738257285.208498,1758274.000,17115,2,MZ,1,100,-22
1738257285.252833,1758318.333,17132,3,MZ,1,100,-25
1738257285.297168,1758362.667,17132,3,MZ,1,100,-22
1738257285.341503,1758407.000,17132,3,MZ,1,100,-21
1738257285.381505,1758447.000,17148,2,MZ,1,100,-24
1738257285.421507,1758487.000,17148,2,MZ,1,100,-21
1738257285.461509,1758527.000,17165,3,MZ,1,100,-21
1738257285.501510,1758567.000,17165,3,MZ,1,100,-25
1738257285.541512,1758607.000,17165,3,MZ,1,100,-22
1738257285.581514,1758647.000,17181,2,MZ,1,100,-21
1738257285.621516,1758687.000,17181,2,MZ,1,100,-23
1738257285.661517,1758727.000,17199,3,MZ,1,100,-21
1738257285.701519,1758767.000,17199,3,MZ,1,100,-21
1738257285.741521,1758807.000,17199,3,MZ,1,100,-23
1738257285.781523,1758847.000,17214,2,MZ,1,100,-22
1738257285.821524,1758887.000,17214,2,MZ,1,100,-21
1738257285.861526,1758927.000,17231,3,MZ,1,100,-24
1738257285.901528,1758967.000,17231,3,MZ,1,100,-23
1738257285.941530,1759007.000,17231,3,MZ,1,100,-21
1738257285.981531,1759047.000,17247,3,MZ,1,100,-24
1738257286.021533,1759087.000,17247,3,MZ,1,100,-22
1738257286.061535,1759127.000,17247,3,MZ,1,100,-22
