LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1738263930.896472,195515.500,28746,4,EM,1,100,RB
1738263930.949724,195568.750,28746,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263931.002976,195622.000,28746,4,EM,1,100,PS
1738263931.053228,195672.250,28779,4,EM,1,100,RS
1738263931.103480,195722.500,28779,4,EM,1,100,RB
1738263931.153732,195772.750,28779,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263931.203984,195823.000,28779,4,EM,1,100,PS
1738263931.254736,195873.750,28813,4,EM,1,100,RS
1738263931.305488,195924.500,28813,4,EM,1,100,RB
1738263931.356240,195975.250,28813,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263931.406992,196026.000,28813,4,EM,1,100,PS
1738263931.457994,196077.000,28845,4,EM,1,100,RS
1738263931.508996,196128.000,28845,4,EM,1,100,RB
1738263931.559998,196179.000,28845,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263931.611000,196230.000,28845,4,EM,1,100,PS
1738263931.661252,196280.250,28879,4,EM,1,100,RS
1738263931.711504,196330.500,28879,4,EM,1,100,RB
1738263931.761756,196380.750,28879,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263931.812008,196431.000,28879,4,EM,1,100,PS
1738263931.863010,196482.000,28911,4,EM,1,100,RS
1738263931.914012,196533.000,28911,4,EM,1,100,RB
1738263931.965014,196584.000,28911,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263932.016016,196635.000,28911,4,EM,1,100,PS
1738263932.066268,196685.250,28945,4,EM,1,100,RS
1738263932.116520,196735.500,28945,4,EM,1,100,RB
1738263932.166772,196785.750,28945,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263932.217024,196836.000,28945,4,EM,1,100,PS
1738263932.267276,196886.250,28978,4,EM,1,100,RS
1738263932.317528,196936.500,28978,4,EM,1,100,RB
1738263932.367780,196986.750,28978,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263932.418032,197037.000,28978,4,EM,1,100,PS
1738263932.468284,197087.250,29013,4,EM,1,100,RS
1738263932.518536,197137.500,29013,4,EM,1,100,RB
1738263932.568788,197187.750,29013,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263932.619040,197238.000,29013,4,EM,1,100,PS
1738263932.669291,197288.250,29047,4,EM,1,100,RS
1738263932.719543,197338.500,29047,4,EM,1,100,RB
1738263932.769795,197388.750,29047,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263932.820047,197439.000,29047,4,EM,1,100,PS
1738263932.870299,197489.250,29079,4,EM,1,100,RS
1738263932.920552,197539.500,29079,4,EM,1,100,RB
1738263932.970803,197589.750,29079,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263933.021055,197640.000,29079,4,EM,1,100,PS
1738263933.071807,197690.750,29113,4,EM,1,100,RS
1738263933.122559,197741.500,29113,4,EM,1,100,RB
1738263933.173311,197792.250,29113,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263933.224063,197843.000,29113,4,EM,1,100,PS
1738263933.274315,197893.250,29146,4,EM,1,100,RS
1738263933.324567,197943.500,29146,4,EM,1,100,RB
1738263933.374819,197993.750,29146,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263933.425071,198044.000,29146,4,EM,1,100,PS
1738263933.475323,198094.250,29179,4,EM,1,100,RS
1738263933.525575,198144.500,29179,4,EM,1,100,RB
1738263933.575827,198194.750,29179,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263933.626079,198245.000,29179,4,EM,1,100,PS
1738263933.676331,198295.250,29214,4,EM,1,100,RS
1738263933.726583,198345.500,29214,4,EM,1,100,RB
1738263933.776835,198395.750,29214,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263933.827087,198446.000,29214,4,EM,1,100,PS
1738263933.877589,198496.500,29248,4,EM,1,100,RS
1738263933.928091,198547.000,29248,4,EM,1,100,RB
1738263933.978593,198597.500,29248,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263934.029095,198648.000,29248,4,EM,1,100,PS
1738263934.079597,198698.500,29280,4,EM,1,100,RS
1738263934.130099,198749.000,29280,4,EM,1,100,RB
1738263934.180601,198799.500,29280,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263934.231103,198850.000,29280,4,EM,1,100,PS
1738263934.281105,198900.000,29314,4,EM,1,100,RS
1738263934.331107,198950.000,29314,4,EM,1,100,RB
1738263934.381109,199000.000,29314,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263934.431111,199050.000,29314,4,EM,1,100,PS
1738263934.488113,199107.000,29351,4,EM,1,100,RS
1738263934.545115,199164.000,29351,4,EM,1,100,RB
1738263934.602118,199221.000,29351,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263934.659120,199278.000,29351,4,EM,1,100,PS
1738263934.709372,199328.250,29385,4,EM,1,100,RS
1738263934.759624,199378.500,29385,4,EM,1,100,RB
1738263934.809876,199428.750,29385,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263934.860128,199479.000,29385,4,EM,1,100,PS
1738263934.911380,199530.250,29418,4,EM,1,100,RS
1738263934.962632,199581.500,29418,4,EM,1,100,RB
1738263935.013884,199632.750,29418,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263935.065136,199684.000,29418,4,EM,1,100,PS
1738263935.115138,199734.000,29451,4,EM,1,100,RS
1738263935.165140,199784.000,29451,4,EM,1,100,RB
1738263935.215142,199834.000,29451,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263935.265144,199884.000,29451,4,EM,1,100,PS
1738263935.315396,199934.250,29486,4,EM,1,100,RS
1738263935.365648,199984.500,29486,4,EM,1,100,RB
1738263935.415900,200034.750,29486,4,EM,1,100,2025-01-30_12-05-23-991747.csv
1738263935.466151,200085.000,29486,4,EM,1,100,PS
1738263935.517904,200136.750,29519,4,EM,1,100,RS
