LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1738261122.904784,1029053,34287,1,HR,1,100,65.80
1738261123.927826,1030076,34455,1,HR,1,100,64.38
1738261125.107875,1031256,34639,1,HR,1,100,61.47
1738261126.120917,1032269,34809,1,HR,1,100,61.14
1738261128.531016,1034679,35215,1,HR,1,100,53.13
1738261130.114082,1036262,35466,1,HR,1,100,49.82
1738261130.934116,1037082,35602,1,HR,1,100,55.01
1738261132.101164,1038249,35803,1,HR,1,100,54.38
1738261133.757232,1039905,36076,1,HR,1,100,50.42
1738261134.737273,1040885,36227,1,HR,1,100,52.82
1738261135.914321,1042062,36429,1,HR,1,100,52.58
1738261137.530388,1043678,36696,1,HR,1,100,49.18
1738261139.440467,1045588,37001,1,HR,1,100,45.30
1738261140.720520,1046868,37221,1,HR,1,100,45.73
1738261143.130620,1049278,37609,1,HR,1,100,41.15
1738261144.566679,1050714,37843,1,HR,1,100,41.40
1738261145.533719,1051681,37997,1,HR,1,100,46.09
1738261146.709767,1052857,38198,1,HR,1,100,47.24
1738261148.216830,1054364,38437,1,HR,1,100,45.69
1738261148.253831,1054401,38455,1,HR,1,100,368.89
1738261149.076865,1055224,38590,1,HR,1,100,303.37
1738261149.409879,1055557,38642,1,HR,1,100,276.36
1738261150.242913,1056390,38776,1,HR,1,100,231.01
1738261151.869980,1058017,39045,1,HR,1,100,187.95
1738261152.750017,1058897,39196,1,HR,1,100,161.51
1738261153.796060,1059943,39369,1,HR,1,100,138.44
1738261155.136115,1061283,39587,1,HR,1,100,117.70
1738261156.086154,1062233,39740,1,HR,1,100,105.73
1738261156.679179,1062826,39840,1,HR,1,100,104.83
1738261157.356207,1063503,39960,1,HR,1,100,101.44
1738261159.476295,1065623,40295,1,HR,1,100,85.24
1738261160.639343,1066786,40499,1,HR,1,100,77.79
1738261163.159447,1069306,40898,1,HR,1,100,65.86
1738261163.245450,1069392,40916,1,HR,1,100,199.38
1738261164.318495,1070465,41089,1,HR,1,100,167.65
1738261167.902643,1074049,41689,1,HR,1,100,134.13
1738261169.048690,1075195,41864,1,HR,1,100,116.12
1738261170.245739,1076392,42065,1,HR,1,100,101.52
1738261171.381786,1077528,42251,1,HR,1,100,90.76
1738261172.598837,1078745,42453,1,HR,1,100,81.70
1738261172.854847,1079001,42504,1,HR,1,100,114.83
1738261173.821887,1079968,42661,1,HR,1,100,103.35
1738261174.874931,1081021,42829,1,HR,1,100,93.08
1738261178.245070,1084391,43395,1,HR,1,100,76.39
1738261181.444202,1087590,43918,1,HR,1,100,63.62
1738261182.584249,1088730,44103,1,HR,1,100,61.28
1738261184.894344,1091040,44475,1,HR,1,100,53.48
1738261185.907386,1092053,44645,1,HR,1,100,54.80
1738261187.187439,1093333,44861,1,HR,1,100,53.20
1738261188.210481,1094356,45029,1,HR,1,100,54.45
1738261188.307485,1094453,45048,1,HR,1,100,175.69
1738261189.257525,1095403,45204,1,HR,1,100,150.83
1738261190.587579,1096733,45424,1,HR,1,100,127.41
1738261191.660624,1097806,45592,1,HR,1,100,111.68
1738261192.803671,1098949,45793,1,HR,1,100,98.66
1738261193.907717,1100053,45976,1,HR,1,100,88.86
1738261195.403779,1101549,46217,1,HR,1,100,78.12
1738261196.563826,1102709,46402,1,HR,1,100,72.35
1738261197.570868,1103716,46569,1,HR,1,100,69.61
1738261199.079930,1105225,46820,1,HR,1,100,63.09
1738261199.839962,1105985,46941,1,HR,1,100,66.61
1738261202.233061,1108378,47326,1,HR,1,100,57.43
1738261203.253103,1109398,47510,1,HR,1,100,57.87
1738261204.347148,1110492,47678,1,HR,1,100,57.24
1738261205.626201,1111771,47888,1,HR,1,100,55.11
1738261207.779290,1113924,48238,1,HR,1,100,49.09
1738261209.183348,1115328,48472,1,HR,1,100,47.77
1738261209.280352,1115425,48491,1,HR,1,100,170.50
1738261209.393356,1115538,48510,1,HR,1,100,253.82
1738261210.123386,1116268,48633,1,HR,1,100,215.94
1738261210.179389,1116324,48651,1,HR,1,100,390.18
1738261211.286435,1117431,48821,1,HR,1,100,315.70
1738261212.869500,1119014,49088,1,HR,1,100,254.04
1738261213.482525,1119627,49189,1,HR,1,100,219.44
1738261214.542569,1120687,49374,1,HR,1,100,183.37
1738261215.825622,1121970,49582,1,HR,1,100,153.12
1738261217.915708,1124060,49916,1,HR,1,100,125.50
1738261219.062756,1125207,50117,1,HR,1,100,109.41
1738261220.598819,1126743,50358,1,HR,1,100,93.81
1738261222.555900,1128700,50691,1,HR,1,100,79.84
1738261223.828953,1129973,50892,1,HR,1,100,72.68
1738261224.878996,1131023,51075,1,HR,1,100,69.35
1738261229.458185,1135602,51814,1,HR,1,100,56.87
1738261233.975372,1140119,52552,1,HR,1,100,47.21
1738261236.395472,1142539,52960,1,HR,1,100,42.27
1738261237.544519,1143688,53144,1,HR,1,100,44.58
1738261239.267590,1145411,53427,1,HR,1,100,42.51
1738261240.060623,1146204,53562,1,HR,1,100,49.94
1738261241.101666,1147245,53718,1,HR,1,100,51.79
1738261242.390719,1148534,53935,1,HR,1,100,50.70
1738261243.214753,1149358,54069,1,HR,1,100,55.69
1738261244.487806,1150631,54287,1,HR,1,100,53.90
1738261245.893864,1152037,54514,1,HR,1,100,51.51
1738261246.736899,1152880,54649,1,HR,1,100,55.94
1738261246.937907,1153081,54683,1,HR,1,100,110.18
1738261250.507055,1156650,55268,1,HR,1,100,89.46
1738261251.657102,1157800,55457,1,HR,1,100,81.27
1738261253.074161,1159217,55692,1,HR,1,100,72.74
1738261254.267210,1160410,55892,1,HR,1,100,67.87
1738261254.500219,1160643,55927,1,HR,1,100,110.76
1738261255.693269,1161836,56130,1,HR,1,100,97.35
1738261257.030324,1163173,56336,1,HR,1,100,85.82
1738261258.403381,1164546,56570,1,HR,1,100,76.55
1738261260.506468,1166649,56922,1,HR,1,100,65.92
1738261262.119534,1168262,57177,1,HR,1,100,59.60
1738261264.059614,1170202,57495,1,HR,1,100,53.30
1738261265.603678,1171746,57746,1,HR,1,100,50.17
1738261266.299707,1172442,57870,1,HR,1,100,58.35
1738261267.576760,1173719,58071,1,HR,1,100,55.88
1738261269.235828,1175378,58354,1,HR,1,100,51.59
1738261270.192868,1176335,58506,1,HR,1,100,54.16
1738261271.122906,1177265,58659,1,HR,1,100,56.62
1738261272.655969,1178798,58914,1,HR,1,100,52.81
1738261273.469003,1179611,59049,1,HR,1,100,57.53
1738261274.702054,1180844,59251,1,HR,1,100,55.68
1738261276.119112,1182261,59486,1,HR,1,100,52.76
