LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1738272636.490489,1639584.000,61484,1,B%,1,100,94
1738272641.489677,1644583.000,62271,1,B%,1,100,95
1738272646.489866,1649583.000,63062,1,B%,1,100,94
1738272651.489054,1654582.000,63846,1,B%,1,100,95
1738272656.489242,1659582.000,64614,1,B%,1,100,95
1738272661.488430,1664581.000,65408,1,B%,1,100,94
1738272666.488618,1669581.000,656,1,B%,1,100,94
1738272671.487807,1674580.000,1434,1,B%,1,100,94
1738272676.487995,1679580.000,2220,1,B%,1,100,94
1738272681.487183,1684579.000,2999,1,B%,1,100,95
1738272686.487371,1689579.000,3778,1,B%,1,100,94
1738272691.486559,1694578.000,4584,1,B%,1,100,95
1738272696.486748,1699578.000,5349,1,B%,1,100,94
1738272701.485936,1704577.000,6135,1,B%,1,100,93
1738272706.486124,1709577.000,6931,1,B%,1,100,93
1738272711.485312,1714576.000,7717,1,B%,1,100,94
1738272716.485501,1719576.000,8493,1,B%,1,100,94
1738272721.484689,1724575.000,9272,1,B%,1,100,94
1738272726.484877,1729575.000,10055,1,B%,1,100,93
1738272731.484065,1734574.000,10851,1,B%,1,100,94
1738272736.484253,1739574.000,11627,1,B%,1,100,94
1738272741.483442,1744573.000,12391,1,B%,1,100,93
1738272746.483630,1749573.000,13180,1,B%,1,100,93
1738272751.482818,1754572.000,13974,1,B%,1,100,94
1738272756.483006,1759572.000,14766,1,B%,1,100,94
1738272761.482194,1764571.000,15535,1,B%,1,100,93
1738272766.482383,1769571.000,16337,1,B%,1,100,94
1738272771.481571,1774570.000,17117,1,B%,1,100,93
1738272776.481759,1779570.000,17885,1,B%,1,100,93
1738272781.480947,1784569.000,18667,1,B%,1,100,93
1738272786.481135,1789569.000,19447,1,B%,1,100,94
1738272791.480324,1794568.000,20226,1,B%,1,100,94
1738272796.480512,1799568.000,21001,1,B%,1,100,93
1738272801.479700,1804567.000,21811,1,B%,1,100,93
1738272806.479888,1809567.000,22579,1,B%,1,100,93
1738272811.479076,1814566.000,23375,1,B%,1,100,94
1738272816.479265,1819566.000,24156,1,B%,1,100,93
1738272821.478453,1824565.000,24917,1,B%,1,100,94
1738272826.478641,1829565.000,25697,1,B%,1,100,93
1738272831.477829,1834564.000,26481,1,B%,1,100,93
1738272836.478017,1839564.000,27263,1,B%,1,100,93
1738272841.477206,1844563.000,28043,1,B%,1,100,93
1738272846.477394,1849563.000,28819,1,B%,1,100,94
1738272851.476582,1854562.000,29587,1,B%,1,100,93
1738272856.476770,1859562.000,30389,1,B%,1,100,93
1738272861.475958,1864561.000,31165,1,B%,1,100,92
1738272866.476147,1869561.000,31948,1,B%,1,100,93
1738272871.475335,1874560.000,32733,1,B%,1,100,93
1738272876.475523,1879560.000,33521,1,B%,1,100,93
1738272881.474711,1884559.000,34281,1,B%,1,100,92
1738272886.474900,1889559.000,35062,1,B%,1,100,93
1738272891.474088,1894558.000,35841,1,B%,1,100,93
1738272896.474276,1899558.000,36612,1,B%,1,100,92
1738272901.473464,1904557.000,37380,1,B%,1,100,93
1738272906.473652,1909557.000,38155,1,B%,1,100,93
1738272911.472841,1914556.000,38931,1,B%,1,100,93
1738272916.473029,1919556.000,39693,1,B%,1,100,93
1738272921.472217,1924555.000,40468,1,B%,1,100,93
1738272926.472405,1929555.000,41249,1,B%,1,100,93
1738272931.471593,1934554.000,42028,1,B%,1,100,93
1738272936.471781,1939554.000,42788,1,B%,1,100,93
1738272941.470970,1944553.000,43570,1,B%,1,100,92
1738272946.471158,1949553.000,44348,1,B%,1,100,93
1738272951.470346,1954552.000,45125,1,B%,1,100,92
1738272956.470534,1959552.000,45885,1,B%,1,100,92
1738272961.469723,1964551.000,46665,1,B%,1,100,92
1738272966.469911,1969551.000,47442,1,B%,1,100,92
1738272971.469099,1974550.000,48221,1,B%,1,100,93
1738272976.469287,1979550.000,48981,1,B%,1,100,92
1738272981.468475,1984549.000,49762,1,B%,1,100,92
