LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1738260871.975149,884688.000,9566,2,AK,1,100,RD
1738260871.988650,884701.500,9569,2,AK,1,100,9567
1738260872.002150,884715.000,9569,2,AK,1,100,RD
1738260874.544743,887257.500,10377,2,AK,1,100,9567
1738260877.087337,889800.000,10377,2,AK,1,100,RD
1738260877.114337,889827.000,10380,2,AK,1,100,10378
1738260877.141338,889854.000,10380,2,AK,1,100,RD
1738260879.667931,892380.500,11187,2,AK,1,100,10378
1738260882.194524,894907.000,11187,2,AK,1,100,RD
1738260882.203524,894916.000,11190,2,AK,1,100,11188
1738260882.212524,894925.000,11190,2,AK,1,100,RD
1738260884.772118,897484.500,12030,2,AK,1,100,11188
1738260887.331712,900044.000,12030,2,AK,1,100,RD
1738260889.885305,902597.500,12827,2,AK,1,100,12031
1738260892.438899,905151.000,12827,2,AK,1,100,RD
1738260892.439899,905152.000,12829,2,AK,1,100,12031
1738260892.440899,905153.000,12829,2,AK,1,100,RD
1738260892.451899,905164.000,12832,2,AK,1,100,12830
1738260892.462900,905175.000,12832,2,AK,1,100,RD
1738260895.004993,907717.000,13648,2,AK,1,100,12830
1738260897.547086,910259.000,13648,2,AK,1,100,RD
1738260897.558586,910270.500,13651,2,AK,1,100,13649
1738260897.570087,910282.000,13651,2,AK,1,100,RD
1738260900.114680,912826.500,14459,2,AK,1,100,13649
1738260902.659273,915371.000,14459,2,AK,1,100,RD
1738260902.672273,915384.000,14462,2,AK,1,100,14460
1738260902.685274,915397.000,14462,2,AK,1,100,RD
1738260905.225867,917937.500,15269,2,AK,1,100,14460
1738260907.766460,920478.000,15269,2,AK,1,100,RD
1738260907.779460,920491.000,15272,2,AK,1,100,15270
1738260907.792461,920504.000,15272,2,AK,1,100,RD
1738260910.355055,923066.500,16105,2,AK,1,100,15270
1738260912.917649,925629.000,16105,2,AK,1,100,RD
1738260912.930649,925642.000,16108,2,AK,1,100,16106
1738260912.943650,925655.000,16108,2,AK,1,100,RD
1738260915.484743,928196.000,16920,2,AK,1,100,16106
1738260918.025836,930737.000,16920,2,AK,1,100,RD
1738260918.050337,930761.500,16923,2,AK,1,100,16921
1738260918.074838,930786.000,16923,2,AK,1,100,RD
1738260920.612431,933323.500,17741,2,AK,1,100,16921
1738260923.150023,935861.000,17741,2,AK,1,100,RD
1738260923.170524,935881.500,17744,2,AK,1,100,17742
1738260923.191025,935902.000,17744,2,AK,1,100,RD
1738260925.724618,938435.500,18563,2,AK,1,100,17742
1738260928.258211,940969.000,18563,2,AK,1,100,RD
1738260930.819804,943530.500,19383,2,AK,1,100,18564
1738260933.381398,946092.000,19383,2,AK,1,100,RD
1738260933.382398,946093.000,19385,2,AK,1,100,18564
1738260933.383398,946094.000,19385,2,AK,1,100,RD
1738260935.955992,948666.500,20204,2,AK,1,100,19386
1738260938.528587,951239.000,20204,2,AK,1,100,RD
1738260938.530087,951240.500,20206,2,AK,1,100,19386
1738260938.531587,951242.000,20206,2,AK,1,100,RD
1738260938.548087,951258.500,20209,2,AK,1,100,20207
1738260938.564588,951275.000,20209,2,AK,1,100,RD
1738260941.100681,953811.000,21032,2,AK,1,100,20207
1738260943.636774,956347.000,21032,2,AK,1,100,RD
1738260943.646774,956357.000,21035,2,AK,1,100,21033
1738260943.656775,956367.000,21035,2,AK,1,100,RD
1738260946.202368,958912.500,21853,2,AK,1,100,21033
1738260948.747961,961458.000,21853,2,AK,1,100,RD
1738260948.759461,961469.500,21856,2,AK,1,100,21854
1738260948.770962,961481.000,21856,2,AK,1,100,RD
1738260951.314055,964024.000,22674,2,AK,1,100,21854
1738260953.857148,966567.000,22674,2,AK,1,100,RD
1738260956.410742,969120.500,23465,2,AK,1,100,22675
1738260958.964335,971674.000,23465,2,AK,1,100,RD
1738260958.965835,971675.500,23467,2,AK,1,100,22675
1738260958.967335,971677.000,23467,2,AK,1,100,RD
1738260958.980336,971690.000,23470,2,AK,1,100,23468
1738260958.993336,971703.000,23470,2,AK,1,100,RD
1738260961.532929,974242.500,24267,2,AK,1,100,23468
1738260964.072522,976782.000,24267,2,AK,1,100,RD
1738260964.084023,976793.500,24270,2,AK,1,100,24268
1738260964.095523,976805.000,24270,2,AK,1,100,RD
1738260966.650117,979359.500,25084,2,AK,1,100,24268
1738260969.204710,981914.000,25084,2,AK,1,100,RD
1738260969.229711,981939.000,25087,2,AK,1,100,25085
1738260969.254712,981964.000,25087,2,AK,1,100,RD
1738260971.783305,984492.500,25844,2,AK,1,100,25085
1738260974.311897,987021.000,25844,2,AK,1,100,RD
1738260974.319398,987028.500,25847,2,AK,1,100,25845
1738260974.326898,987036.000,25847,2,AK,1,100,RD
1738260976.873491,989582.500,26671,2,AK,1,100,25845
1738260979.420084,992129.000,26671,2,AK,1,100,RD
1738260981.997679,994706.500,27495,2,AK,1,100,26672
1738260984.575273,997284.000,27495,2,AK,1,100,RD
1738260984.576773,997285.500,27497,2,AK,1,100,26672
1738260984.578273,997287.000,27497,2,AK,1,100,RD
1738260984.590274,997299.000,27500,2,AK,1,100,27498
1738260984.602274,997311.000,27500,2,AK,1,100,RD
1738260987.151868,999860.500,28319,2,AK,1,100,27498
1738260989.701461,1002410.000,28319,2,AK,1,100,RD
1738260989.712461,1002421.000,28322,2,AK,1,100,28320
