LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
1738271586.582226,572894.000,24651,3,GX,1,100,-0.763
1738271586.622227,572934.000,24666,3,GX,1,100,-0.549
1738271586.662229,572974.000,24666,3,GX,1,100,-0.397
1738271586.702231,573014.000,24666,3,GX,1,100,-0.275
1738271586.742232,573054.000,24683,2,GX,1,100,-0.122
1738271586.782234,573094.000,24683,2,GX,1,100,-0.122
1738271586.822236,573134.000,24699,3,GX,1,100,-0.183
1738271586.862237,573174.000,24699,3,GX,1,100,-0.092
1738271586.902239,573214.000,24699,3,GX,1,100,-0.092
1738271586.942240,573254.000,24717,2,GX,1,100,-0.366
1738271586.982242,573294.000,24717,2,GX,1,100,-0.519
1738271587.022244,573334.000,24732,3,GX,1,100,-0.610
1738271587.062245,573374.000,24732,3,GX,1,100,-0.366
1738271587.102247,573414.000,24732,3,GX,1,100,-0.061
1738271587.142249,573454.000,24749,2,GX,1,100,0.061
1738271587.182250,573494.000,24749,2,GX,1,100,-0.092
1738271587.222252,573534.000,24766,3,GX,1,100,0.000
1738271587.262253,573574.000,24766,3,GX,1,100,0.061
1738271587.302255,573614.000,24766,3,GX,1,100,-0.275
1738271587.342257,573654.000,24783,2,GX,1,100,-0.336
1738271587.382258,573694.000,24783,2,GX,1,100,-0.336
1738271587.422260,573734.000,24798,3,GX,1,100,-0.336
1738271587.462261,573774.000,24798,3,GX,1,100,-0.427
1738271587.502263,573814.000,24798,3,GX,1,100,-0.458
1738271587.542265,573854.000,24816,2,GX,1,100,-0.305
1738271587.582266,573894.000,24816,2,GX,1,100,-0.092
1738271587.622268,573934.000,24832,3,GX,1,100,0.031
1738271587.662270,573974.000,24832,3,GX,1,100,0.122
1738271587.702271,574014.000,24832,3,GX,1,100,0.122
1738271587.748773,574060.500,24849,2,GX,1,100,0.092
1738271587.795275,574107.000,24849,2,GX,1,100,-0.122
1738271587.835277,574147.000,24865,3,GX,1,100,-0.305
1738271587.875278,574187.000,24865,3,GX,1,100,-0.305
1738271587.915280,574227.000,24865,3,GX,1,100,-0.244
1738271587.955281,574267.000,24882,2,GX,1,100,-0.183
1738271587.995283,574307.000,24882,2,GX,1,100,0.061
1738271588.035285,574347.000,24898,3,GX,1,100,0.122
1738271588.075286,574387.000,24898,3,GX,1,100,0.061
1738271588.115288,574427.000,24898,3,GX,1,100,-0.153
1738271588.155289,574467.000,24915,2,GX,1,100,-0.183
1738271588.195291,574507.000,24915,2,GX,1,100,-0.031
1738271588.235293,574547.000,24932,3,GX,1,100,0.031
1738271588.275294,574587.000,24932,3,GX,1,100,0.000
1738271588.315296,574627.000,24932,3,GX,1,100,0.031
1738271588.355298,574667.000,24948,2,GX,1,100,-0.061
1738271588.395299,574707.000,24948,2,GX,1,100,0.153
1738271588.435301,574747.000,24964,3,GX,1,100,-0.214
1738271588.475302,574787.000,24964,3,GX,1,100,-0.183
1738271588.515304,574827.000,24964,3,GX,1,100,0.031
1738271588.555306,574867.000,24982,2,GX,1,100,-0.122
