LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1738265309.993488,1584123.333,47528,9,PG,1,100,4936
1738265310.004459,1584133.667,47528,9,PG,1,100,4929
1738265310.015430,1584144.000,47528,9,PG,1,100,4941
1738265310.026401,1584154.333,47528,9,PG,1,100,4955
1738265310.037372,1584164.667,47528,9,PG,1,100,4956
1738265310.048343,1584175.000,47528,9,PG,1,100,4938
1738265310.059314,1584185.333,47528,9,PG,1,100,4977
1738265310.070285,1584195.667,47528,9,PG,1,100,4973
1738265310.081256,1584206.000,47528,9,PG,1,100,4965
1738265310.091584,1584215.727,47544,11,PG,1,100,4942
1738265310.101911,1584225.455,47544,11,PG,1,100,4985
1738265310.112239,1584235.182,47544,11,PG,1,100,4932
1738265310.122567,1584244.909,47544,11,PG,1,100,4950
1738265310.132894,1584254.636,47544,11,PG,1,100,4929
1738265310.143222,1584264.364,47544,11,PG,1,100,4958
1738265310.153549,1584274.091,47544,11,PG,1,100,4939
1738265310.163877,1584283.818,47544,11,PG,1,100,4969
1738265310.174205,1584293.545,47544,11,PG,1,100,4967
1738265310.184532,1584303.273,47544,11,PG,1,100,4929
1738265310.194860,1584313.000,47544,11,PG,1,100,4929
1738265310.206114,1584323.600,47561,10,PG,1,100,4973
1738265310.217368,1584334.200,47561,10,PG,1,100,4948
1738265310.228622,1584344.800,47561,10,PG,1,100,4974
1738265310.239877,1584355.400,47561,10,PG,1,100,4984
1738265310.251131,1584366.000,47561,10,PG,1,100,4972
1738265310.262385,1584376.600,47561,10,PG,1,100,4959
1738265310.273639,1584387.200,47561,10,PG,1,100,5003
1738265310.284893,1584397.800,47561,10,PG,1,100,4969
1738265310.296147,1584408.400,47561,10,PG,1,100,4967
1738265310.307402,1584419.000,47561,10,PG,1,100,4970
1738265310.317382,1584428.400,47579,10,PG,1,100,4964
1738265310.327362,1584437.800,47579,10,PG,1,100,4959
1738265310.337342,1584447.200,47579,10,PG,1,100,4977
1738265310.347322,1584456.600,47579,10,PG,1,100,4985
1738265310.357302,1584466.000,47579,10,PG,1,100,4952
1738265310.367282,1584475.400,47579,10,PG,1,100,5002
1738265310.377262,1584484.800,47579,10,PG,1,100,4993
1738265310.387243,1584494.200,47579,10,PG,1,100,4953
1738265310.397223,1584503.600,47579,10,PG,1,100,4973
1738265310.407203,1584513.000,47579,10,PG,1,100,4968
1738265310.418457,1584523.600,47594,10,PG,1,100,4968
1738265310.429711,1584534.200,47594,10,PG,1,100,4954
1738265310.440965,1584544.800,47594,10,PG,1,100,4991
1738265310.452219,1584555.400,47594,10,PG,1,100,4960
1738265310.463474,1584566.000,47594,10,PG,1,100,4957
1738265310.474728,1584576.600,47594,10,PG,1,100,4978
1738265310.485982,1584587.200,47594,10,PG,1,100,4946
1738265310.497236,1584597.800,47594,10,PG,1,100,4939
1738265310.508491,1584608.400,47594,10,PG,1,100,4955
1738265310.519745,1584619.000,47594,10,PG,1,100,4974
1738265310.530072,1584628.727,47610,11,PG,1,100,4937
1738265310.540400,1584638.455,47610,11,PG,1,100,4964
1738265310.550727,1584648.182,47610,11,PG,1,100,4951
1738265310.561055,1584657.909,47610,11,PG,1,100,4930
1738265310.571383,1584667.636,47610,11,PG,1,100,4956
1738265310.581710,1584677.364,47610,11,PG,1,100,4935
1738265310.592038,1584687.091,47610,11,PG,1,100,4956
1738265310.602365,1584696.818,47610,11,PG,1,100,4928
1738265310.612693,1584706.545,47610,11,PG,1,100,4947
1738265310.623021,1584716.273,47610,11,PG,1,100,4934
1738265310.633348,1584726.000,47610,11,PG,1,100,4951
1738265310.644319,1584736.333,47625,9,PG,1,100,4944
