LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GZ
1738263926.599043,197865.000,28845,3,GZ,1,100,5.066
1738263926.639045,197905.000,28845,3,GZ,1,100,8.545
1738263926.679046,197945.000,28862,2,GZ,1,100,17.944
1738263926.719048,197985.000,28862,2,GZ,1,100,25.940
1738263926.759049,198025.000,28878,3,GZ,1,100,42.877
1738263926.799051,198065.000,28878,3,GZ,1,100,69.641
1738263926.839052,198105.000,28878,3,GZ,1,100,108.673
1738263926.879054,198145.000,28896,2,GZ,1,100,164.062
1738263926.919055,198185.000,28896,2,GZ,1,100,130.280
1738263926.959057,198225.000,28911,3,GZ,1,100,58.380
1738263926.999058,198265.000,28911,3,GZ,1,100,62.317
1738263927.039060,198305.000,28911,3,GZ,1,100,53.986
1738263927.079061,198345.000,28928,2,GZ,1,100,28.168
1738263927.119063,198385.000,28928,2,GZ,1,100,31.555
1738263927.159064,198425.000,28944,2,GZ,1,100,42.145
1738263927.199066,198465.000,28944,2,GZ,1,100,32.562
1738263927.243401,198509.333,28962,3,GZ,1,100,23.712
1738263927.287736,198553.667,28962,3,GZ,1,100,28.351
1738263927.332071,198598.000,28962,3,GZ,1,100,15.717
1738263927.372072,198638.000,28977,3,GZ,1,100,0.183
1738263927.412074,198678.000,28977,3,GZ,1,100,-8.362
1738263927.452075,198718.000,28977,3,GZ,1,100,-17.334
1738263927.492077,198758.000,28994,2,GZ,1,100,-17.273
1738263927.532079,198798.000,28994,2,GZ,1,100,-17.883
1738263927.572080,198838.000,29011,3,GZ,1,100,-25.940
1738263927.612082,198878.000,29011,3,GZ,1,100,-31.372
1738263927.652083,198918.000,29011,3,GZ,1,100,-22.583
1738263927.692085,198958.000,29028,2,GZ,1,100,-46.112
1738263927.732086,198998.000,29028,2,GZ,1,100,-46.844
1738263927.772088,199038.000,29043,3,GZ,1,100,-35.492
1738263927.812089,199078.000,29043,3,GZ,1,100,-53.131
1738263927.852091,199118.000,29043,3,GZ,1,100,-31.799
1738263927.892092,199158.000,29061,2,GZ,1,100,-26.215
1738263927.932094,199198.000,29061,2,GZ,1,100,-37.537
1738263927.972095,199238.000,29077,3,GZ,1,100,-53.375
1738263928.012097,199278.000,29077,3,GZ,1,100,-68.878
1738263928.052098,199318.000,29077,3,GZ,1,100,-39.856
1738263928.092100,199358.000,29094,2,GZ,1,100,-10.071
1738263928.132101,199398.000,29094,2,GZ,1,100,-1.129
1738263928.172103,199438.000,29109,3,GZ,1,100,21.545
1738263928.212104,199478.000,29109,3,GZ,1,100,36.591
1738263928.252106,199518.000,29109,3,GZ,1,100,28.961
1738263928.292107,199558.000,29129,2,GZ,1,100,-6.866
1738263928.332109,199598.000,29129,2,GZ,1,100,-78.644
1738263928.376444,199642.333,29145,3,GZ,1,100,-132.874
1738263928.420779,199686.667,29145,3,GZ,1,100,-146.240
1738263928.465114,199731.000,29145,3,GZ,1,100,-129.852
1738263928.505116,199771.000,29162,2,GZ,1,100,-100.525
1738263928.545117,199811.000,29162,2,GZ,1,100,-55.542
1738263928.585119,199851.000,29179,3,GZ,1,100,-4.791
1738263928.625120,199891.000,29179,3,GZ,1,100,26.550
1738263928.665122,199931.000,29179,3,GZ,1,100,32.776
1738263928.705123,199971.000,29195,2,GZ,1,100,21.912
1738263928.745125,200011.000,29195,2,GZ,1,100,29.236
1738263928.785126,200051.000,29211,3,GZ,1,100,39.063
1738263928.825128,200091.000,29211,3,GZ,1,100,32.959
1738263928.865129,200131.000,29211,3,GZ,1,100,21.759
1738263928.905131,200171.000,29229,2,GZ,1,100,15.717
1738263928.945132,200211.000,29229,2,GZ,1,100,20.050
1738263928.985134,200251.000,29245,3,GZ,1,100,32.349
1738263929.025135,200291.000,29245,3,GZ,1,100,31.555
1738263929.065137,200331.000,29245,3,GZ,1,100,23.621
1738263929.105138,200371.000,29261,3,GZ,1,100,28.137
1738263929.145140,200411.000,29261,3,GZ,1,100,29.999
1738263929.185141,200451.000,29261,3,GZ,1,100,24.261
1738263929.225143,200491.000,29278,2,GZ,1,100,22.369
1738263929.265144,200531.000,29278,2,GZ,1,100,13.123
1738263929.305146,200571.000,29295,3,GZ,1,100,4.608
1738263929.345147,200611.000,29295,3,GZ,1,100,-0.610
1738263929.385149,200651.000,29295,3,GZ,1,100,-8.881
1738263929.425150,200691.000,29311,2,GZ,1,100,-12.268
1738263929.465152,200731.000,29311,2,GZ,1,100,-18.372
1738263929.511654,200777.500,29327,2,GZ,1,100,-13.977
1738263929.558155,200824.000,29327,2,GZ,1,100,-16.327
1738263929.598157,200864.000,29346,3,GZ,1,100,-18.616
1738263929.638158,200904.000,29346,3,GZ,1,100,-13.336
1738263929.678160,200944.000,29346,3,GZ,1,100,-14.313
1738263929.718161,200984.000,29363,3,GZ,1,100,-9.979
1738263929.758163,201024.000,29363,3,GZ,1,100,-6.989
1738263929.798164,201064.000,29363,3,GZ,1,100,-7.996
1738263929.838666,201104.500,29379,2,GZ,1,100,1.953
1738263929.879168,201145.000,29379,2,GZ,1,100,18.219
1738263929.919169,201185.000,29397,3,GZ,1,100,15.320
1738263929.959171,201225.000,29397,3,GZ,1,100,9.857
