LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MY
1738265320.712212,1594219.000,49087,3,MY,1,100,-59
1738265320.754680,1594259.000,49087,3,MY,1,100,-58
1738265320.797149,1594299.000,49103,2,MY,1,100,-60
1738265320.839617,1594339.000,49103,2,MY,1,100,-60
1738265320.881732,1594378.667,49119,3,MY,1,100,-58
1738265320.923847,1594418.333,49119,3,MY,1,100,-58
1738265320.965962,1594458.000,49119,3,MY,1,100,-60
1738265321.008961,1594498.500,49136,2,MY,1,100,-58
1738265321.051961,1594539.000,49136,2,MY,1,100,-59
1738265321.094075,1594578.667,49151,3,MY,1,100,-58
1738265321.136190,1594618.333,49151,3,MY,1,100,-58
1738265321.178305,1594658.000,49151,3,MY,1,100,-58
1738265321.220773,1594698.000,49168,2,MY,1,100,-60
1738265321.263242,1594738.000,49168,2,MY,1,100,-59
1738265321.313143,1594785.000,49183,2,MY,1,100,-58
1738265321.363043,1594832.000,49183,2,MY,1,100,-59
1738265321.405512,1594872.000,49198,3,MY,1,100,-59
1738265321.447980,1594912.000,49198,3,MY,1,100,-58
1738265321.490449,1594952.000,49198,3,MY,1,100,-59
1738265321.532918,1594992.000,49214,3,MY,1,100,-58
1738265321.575386,1595032.000,49214,3,MY,1,100,-58
1738265321.617855,1595072.000,49214,3,MY,1,100,-59
1738265321.660324,1595112.000,49230,2,MY,1,100,-58
1738265321.702792,1595152.000,49230,2,MY,1,100,-58
1738265321.745261,1595192.000,49245,3,MY,1,100,-60
1738265321.787729,1595232.000,49245,3,MY,1,100,-60
1738265321.830198,1595272.000,49245,3,MY,1,100,-59
1738265321.872667,1595312.000,49260,2,MY,1,100,-58
1738265321.915135,1595352.000,49260,2,MY,1,100,-58
1738265321.957604,1595392.000,49276,3,MY,1,100,-59
1738265322.000072,1595432.000,49276,3,MY,1,100,-59
1738265322.042541,1595472.000,49276,3,MY,1,100,-60
1738265322.084744,1595511.750,49297,4,MY,1,100,-58
1738265322.126947,1595551.500,49297,4,MY,1,100,-59
1738265322.169151,1595591.250,49297,4,MY,1,100,-60
1738265322.211354,1595631.000,49297,4,MY,1,100,-60
1738265322.254353,1595671.500,49313,2,MY,1,100,-58
1738265322.297353,1595712.000,49313,2,MY,1,100,-60
1738265322.339821,1595752.000,49329,3,MY,1,100,-58
1738265322.382290,1595792.000,49329,3,MY,1,100,-59
1738265322.424759,1595832.000,49329,3,MY,1,100,-60
1738265322.466696,1595871.500,49344,2,MY,1,100,-58
1738265322.508634,1595911.000,49344,2,MY,1,100,-59
1738265322.556057,1595955.667,49359,3,MY,1,100,-58
1738265322.603481,1596000.333,49359,3,MY,1,100,-59
1738265322.650904,1596045.000,49359,3,MY,1,100,-58
1738265322.693372,1596085.000,49375,2,MY,1,100,-60
1738265322.735841,1596125.000,49375,2,MY,1,100,-59
1738265322.778310,1596165.000,49391,3,MY,1,100,-58
1738265322.820778,1596205.000,49391,3,MY,1,100,-59
1738265322.863247,1596245.000,49391,3,MY,1,100,-58
1738265322.905716,1596285.000,49406,2,MY,1,100,-58
1738265322.948184,1596325.000,49406,2,MY,1,100,-60
1738265322.990653,1596365.000,49422,3,MY,1,100,-60
1738265323.033121,1596405.000,49422,3,MY,1,100,-58
1738265323.075590,1596445.000,49422,3,MY,1,100,-60
1738265323.118059,1596485.000,49437,2,MY,1,100,-58
1738265323.160527,1596525.000,49437,2,MY,1,100,-59
1738265323.202996,1596565.000,49453,3,MY,1,100,-58
1738265323.245465,1596605.000,49453,3,MY,1,100,-60
1738265323.287933,1596645.000,49453,3,MY,1,100,-59
1738265323.330402,1596685.000,49469,2,MY,1,100,-59
1738265323.372870,1596725.000,49469,2,MY,1,100,-61
1738265323.415339,1596765.000,49484,3,MY,1,100,-59
1738265323.457808,1596805.000,49484,3,MY,1,100,-59
1738265323.500276,1596845.000,49484,3,MY,1,100,-60
1738265323.542745,1596885.000,49499,2,MY,1,100,-58
1738265323.585213,1596925.000,49499,2,MY,1,100,-60
1738265323.627682,1596965.000,49515,3,MY,1,100,-58
1738265323.670151,1597005.000,49515,3,MY,1,100,-59
1738265323.712619,1597045.000,49515,3,MY,1,100,-58
1738265323.761989,1597091.500,49531,2,MY,1,100,-59
1738265323.811359,1597138.000,49531,2,MY,1,100,-58
1738265323.853827,1597178.000,49547,3,MY,1,100,-59
1738265323.896296,1597218.000,49547,3,MY,1,100,-59
1738265323.938765,1597258.000,49547,3,MY,1,100,-59
1738265323.981233,1597298.000,49561,2,MY,1,100,-60
1738265324.023702,1597338.000,49561,2,MY,1,100,-58
1738265324.066170,1597378.000,49578,3,MY,1,100,-58
1738265324.108639,1597418.000,49578,3,MY,1,100,-60
1738265324.151108,1597458.000,49578,3,MY,1,100,-60
1738265324.193576,1597498.000,49593,2,MY,1,100,-60
1738265324.236045,1597538.000,49593,2,MY,1,100,-59
1738265324.278513,1597578.000,49609,3,MY,1,100,-59
1738265324.320982,1597618.000,49609,3,MY,1,100,-60
1738265324.363451,1597658.000,49609,3,MY,1,100,-59
1738265324.405919,1597698.000,49624,2,MY,1,100,-58
1738265324.448388,1597738.000,49624,2,MY,1,100,-59
1738265324.490857,1597778.000,49640,3,MY,1,100,-59
1738265324.533325,1597818.000,49640,3,MY,1,100,-58
1738265324.575794,1597858.000,49640,3,MY,1,100,-61
1738265324.618263,1597898.000,49655,3,MY,1,100,-59
1738265324.660731,1597938.000,49655,3,MY,1,100,-58
1738265324.703200,1597978.000,49655,3,MY,1,100,-60
1738265324.745668,1598018.000,49672,2,MY,1,100,-60
1738265324.788137,1598058.000,49672,2,MY,1,100,-59
1738265324.830606,1598098.000,49686,3,MY,1,100,-59
1738265324.873074,1598138.000,49686,3,MY,1,100,-60
1738265324.915543,1598178.000,49686,3,MY,1,100,-60
1738265324.965443,1598225.000,49702,2,MY,1,100,-60
1738265325.015344,1598272.000,49702,2,MY,1,100,-59
1738265325.057282,1598311.500,49717,2,MY,1,100,-59
1738265325.099220,1598351.000,49717,2,MY,1,100,-61
1738265325.141688,1598391.000,49734,3,MY,1,100,-60
1738265325.184157,1598431.000,49734,3,MY,1,100,-61
1738265325.226625,1598471.000,49734,3,MY,1,100,-63
1738265325.269094,1598511.000,49748,2,MY,1,100,-65
1738265325.311563,1598551.000,49748,2,MY,1,100,-64
1738265325.354031,1598591.000,49764,3,MY,1,100,-67
1738265325.396500,1598631.000,49764,3,MY,1,100,-70
1738265325.438968,1598671.000,49764,3,MY,1,100,-71
1738265325.481437,1598711.000,49780,3,MY,1,100,-73
1738265325.523906,1598751.000,49780,3,MY,1,100,-77
1738265325.566374,1598791.000,49780,3,MY,1,100,-79
1738265325.608843,1598831.000,49796,2,MY,1,100,-81
1738265325.651311,1598871.000,49796,2,MY,1,100,-83
1738265325.693780,1598911.000,49810,3,MY,1,100,-84
1738265325.736249,1598951.000,49810,3,MY,1,100,-85
1738265325.778717,1598991.000,49810,3,MY,1,100,-84
1738265325.821186,1599031.000,49827,2,MY,1,100,-85
1738265325.863654,1599071.000,49827,2,MY,1,100,-86
1738265325.906123,1599111.000,49842,3,MY,1,100,-85
1738265325.948592,1599151.000,49842,3,MY,1,100,-86
1738265325.991060,1599191.000,49842,3,MY,1,100,-85
1738265326.033529,1599231.000,49858,2,MY,1,100,-84
1738265326.075998,1599271.000,49858,2,MY,1,100,-83
1738265326.125367,1599317.500,49873,2,MY,1,100,-81
1738265326.174737,1599364.000,49873,2,MY,1,100,-80
1738265326.217206,1599404.000,49891,3,MY,1,100,-79
1738265326.259674,1599444.000,49891,3,MY,1,100,-79
1738265326.302143,1599484.000,49891,3,MY,1,100,-79
1738265326.344611,1599524.000,49906,2,MY,1,100,-78
1738265326.387080,1599564.000,49906,2,MY,1,100,-79
1738265326.429549,1599604.000,49922,3,MY,1,100,-80
1738265326.472017,1599644.000,49922,3,MY,1,100,-79
1738265326.514486,1599684.000,49922,3,MY,1,100,-81
1738265326.556955,1599724.000,49938,3,MY,1,100,-81
1738265326.599423,1599764.000,49938,3,MY,1,100,-81
1738265326.641892,1599804.000,49938,3,MY,1,100,-81
1738265326.684361,1599844.000,49953,2,MY,1,100,-82
1738265326.726829,1599884.000,49953,2,MY,1,100,-82
1738265326.769298,1599924.000,49968,3,MY,1,100,-82
1738265326.811766,1599964.000,49968,3,MY,1,100,-84
1738265326.854235,1600004.000,49968,3,MY,1,100,-83
1738265326.896703,1600044.000,49985,2,MY,1,100,-84
1738265326.939172,1600084.000,49985,2,MY,1,100,-84
1738265326.981641,1600124.000,50000,3,MY,1,100,-83
1738265327.024109,1600164.000,50000,3,MY,1,100,-84
1738265327.066578,1600204.000,50000,3,MY,1,100,-84
1738265327.109577,1600244.500,50015,2,MY,1,100,-84
1738265327.152577,1600285.000,50015,2,MY,1,100,-85
1738265327.195045,1600325.000,50031,3,MY,1,100,-84
1738265327.237514,1600365.000,50031,3,MY,1,100,-84
1738265327.279983,1600405.000,50031,3,MY,1,100,-86
1738265327.329352,1600451.500,50047,2,MY,1,100,-85
1738265327.378722,1600498.000,50047,2,MY,1,100,-85
1738265327.421191,1600538.000,50062,3,MY,1,100,-87
1738265327.463660,1600578.000,50062,3,MY,1,100,-86
1738265327.506128,1600618.000,50062,3,MY,1,100,-88
1738265327.548597,1600658.000,50084,3,MY,1,100,-88
1738265327.591065,1600698.000,50084,3,MY,1,100,-88
1738265327.633534,1600738.000,50084,3,MY,1,100,-88
1738265327.676003,1600778.000,50099,3,MY,1,100,-88
1738265327.718471,1600818.000,50099,3,MY,1,100,-90
1738265327.760940,1600858.000,50099,3,MY,1,100,-88
1738265327.803408,1600898.000,50114,2,MY,1,100,-89
1738265327.845877,1600938.000,50114,2,MY,1,100,-88
1738265327.888346,1600978.000,50130,3,MY,1,100,-89
1738265327.930814,1601018.000,50130,3,MY,1,100,-87
1738265327.973283,1601058.000,50130,3,MY,1,100,-88
1738265328.015751,1601098.000,50146,2,MY,1,100,-88
1738265328.058220,1601138.000,50146,2,MY,1,100,-89
1738265328.100689,1601178.000,50163,3,MY,1,100,-88
1738265328.143157,1601218.000,50163,3,MY,1,100,-88
1738265328.185626,1601258.000,50163,3,MY,1,100,-88
1738265328.228095,1601298.000,50178,3,MY,1,100,-88
1738265328.270563,1601338.000,50178,3,MY,1,100,-87
1738265328.313032,1601378.000,50178,3,MY,1,100,-86
1738265328.355500,1601418.000,50194,2,MY,1,100,-88
1738265328.397969,1601458.000,50194,2,MY,1,100,-88
1738265328.440438,1601498.000,50210,2,MY,1,100,-88
1738265328.482906,1601538.000,50210,2,MY,1,100,-88
1738265328.529976,1601582.333,50225,3,MY,1,100,-88
1738265328.577045,1601626.667,50225,3,MY,1,100,-86
1738265328.624114,1601671.000,50225,3,MY,1,100,-85
1738265328.666583,1601711.000,50241,2,MY,1,100,-84
1738265328.709052,1601751.000,50241,2,MY,1,100,-83
1738265328.751520,1601791.000,50258,3,MY,1,100,-83
