LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AZ
1738265320.102787,1593645.000,48988,3,AZ,1,100,0.875
1738265320.152157,1593691.500,49005,2,AZ,1,100,0.875
1738265320.201527,1593738.000,49005,2,AZ,1,100,0.876
1738265320.243995,1593778.000,49020,3,AZ,1,100,0.879
1738265320.286464,1593818.000,49020,3,AZ,1,100,0.875
1738265320.328933,1593858.000,49020,3,AZ,1,100,0.880
1738265320.371401,1593898.000,49036,2,AZ,1,100,0.879
1738265320.413870,1593938.000,49036,2,AZ,1,100,0.877
1738265320.456692,1593978.333,49050,3,AZ,1,100,0.879
1738265320.499515,1594018.667,49050,3,AZ,1,100,0.878
1738265320.542337,1594059.000,49050,3,AZ,1,100,0.880
1738265320.584806,1594099.000,49067,2,AZ,1,100,0.876
1738265320.627275,1594139.000,49067,2,AZ,1,100,0.880
1738265320.669743,1594179.000,49082,3,AZ,1,100,0.880
1738265320.712212,1594219.000,49082,3,AZ,1,100,0.881
1738265320.754680,1594259.000,49082,3,AZ,1,100,0.878
1738265320.797149,1594299.000,49098,2,AZ,1,100,0.878
1738265320.839617,1594339.000,49098,2,AZ,1,100,0.876
1738265320.881732,1594378.667,49114,3,AZ,1,100,0.880
1738265320.923847,1594418.333,49114,3,AZ,1,100,0.880
1738265320.965962,1594458.000,49114,3,AZ,1,100,0.878
1738265321.008961,1594498.500,49131,2,AZ,1,100,0.880
1738265321.051961,1594539.000,49131,2,AZ,1,100,0.879
1738265321.094075,1594578.667,49146,3,AZ,1,100,0.880
1738265321.136190,1594618.333,49146,3,AZ,1,100,0.882
1738265321.178305,1594658.000,49146,3,AZ,1,100,0.881
1738265321.220773,1594698.000,49163,2,AZ,1,100,0.880
1738265321.263242,1594738.000,49163,2,AZ,1,100,0.883
1738265321.313143,1594785.000,49178,2,AZ,1,100,0.880
1738265321.363043,1594832.000,49178,2,AZ,1,100,0.883
1738265321.405512,1594872.000,49193,3,AZ,1,100,0.879
1738265321.447980,1594912.000,49193,3,AZ,1,100,0.877
1738265321.490449,1594952.000,49193,3,AZ,1,100,0.881
1738265321.532918,1594992.000,49209,3,AZ,1,100,0.879
1738265321.575386,1595032.000,49209,3,AZ,1,100,0.878
1738265321.617855,1595072.000,49209,3,AZ,1,100,0.879
1738265321.660324,1595112.000,49225,2,AZ,1,100,0.887
1738265321.702792,1595152.000,49225,2,AZ,1,100,0.887
1738265321.745261,1595192.000,49240,3,AZ,1,100,0.883
1738265321.787729,1595232.000,49240,3,AZ,1,100,0.878
1738265321.830198,1595272.000,49240,3,AZ,1,100,0.881
1738265321.872667,1595312.000,49255,2,AZ,1,100,0.883
1738265321.915135,1595352.000,49255,2,AZ,1,100,0.884
1738265321.957604,1595392.000,49271,3,AZ,1,100,0.884
1738265322.000072,1595432.000,49271,3,AZ,1,100,0.879
1738265322.042541,1595472.000,49271,3,AZ,1,100,0.883
1738265322.084744,1595511.750,49292,4,AZ,1,100,0.882
1738265322.126947,1595551.500,49292,4,AZ,1,100,0.881
1738265322.169151,1595591.250,49292,4,AZ,1,100,0.883
1738265322.211354,1595631.000,49292,4,AZ,1,100,0.884
1738265322.254353,1595671.500,49308,2,AZ,1,100,0.886
1738265322.297353,1595712.000,49308,2,AZ,1,100,0.883
1738265322.339821,1595752.000,49324,3,AZ,1,100,0.878
1738265322.382290,1595792.000,49324,3,AZ,1,100,0.883
