LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1738264523.040663,794284,55592,1,SR,1,100,0.066667
1738264523.240670,794484,55630,1,SR,1,100,0.066667
1738264523.707688,794951,55694,1,SR,1,100,0.066667
1738264525.706764,796950,56046,1,SR,1,100,0.333333
1738264529.106893,800350,56539,1,SR,1,100,0.066667
1738264529.973926,801217,56769,1,SR,1,100,0.800000
1738264531.039966,802283,56865,1,SR,1,100,0.333333
1738264532.573024,803816,57070,1,SR,1,100,0.133333
1738264533.107044,804350,57261,1,SR,1,100,0.800000
1738264535.106120,806349,57466,1,SR,1,100,0.066667
1738264535.706143,806949,57584,1,SR,1,100,0.266667
1738264536.373168,807616,57681,1,SR,1,100,0.200000
1738264536.707181,807950,57839,1,SR,1,100,0.866667
1738264537.972229,809215,57903,1,SR,1,100,0.066667
1738264538.440247,809683,58049,1,SR,1,100,0.466667
1738264539.573290,810816,58241,1,SR,1,100,0.533333
1738264540.373320,811616,58306,1,SR,1,100,0.200000
1738264540.839338,812082,58360,1,SR,1,100,0.066667
1738264542.973419,814216,58802,1,SR,1,100,0.800000
1738264544.172464,815415,58929,1,SR,1,100,0.400000
1738264544.838489,816081,59041,1,SR,1,100,0.400000
1738264545.372510,816615,59074,1,SR,1,100,0.066667
1738264546.372548,817615,59222,1,SR,1,100,0.066667
1738264546.705560,817948,59302,1,SR,1,100,0.200000
1738264547.038573,818281,59334,1,SR,1,100,0.133333
1738264547.305583,818548,59398,1,SR,1,100,0.200000
1738264547.638596,818881,59513,1,SR,1,100,0.600000
1738264548.505628,819748,59579,1,SR,1,100,0.133333
1738264550.105689,821348,59849,1,SR,1,100,0.333333
1738264551.971760,823214,60107,1,SR,1,100,0.133333
1738264552.971798,824214,60365,1,SR,1,100,0.733333
1738264557.770980,829013,61017,1,SR,1,100,0.133333
1738264558.170995,829413,61067,1,SR,1,100,0.066667
1738264558.571010,829813,61196,1,SR,1,100,0.400000
1738264560.305076,831547,61438,1,SR,1,100,0.266667
1738264564.171222,835413,62031,1,SR,1,100,0.200000
1738264564.904250,836146,62157,1,SR,1,100,0.266667
1738264566.237301,837479,62332,1,SR,1,100,0.066667
1738264567.571352,838813,62556,1,SR,1,100,0.200000
1738264568.704395,839946,62778,1,SR,1,100,0.466667
1738264573.370571,844612,63532,1,SR,1,100,0.466667
1738264576.303683,847545,64090,1,SR,1,100,1.200000
1738264578.637771,849879,64395,1,SR,1,100,0.733333
1738264579.637809,850879,64443,1,SR,1,100,0.133333
1738264579.903819,851145,64571,1,SR,1,100,0.600000
1738264581.170867,852412,64700,1,SR,1,100,0.133333
1738264581.836893,853078,64819,1,SR,1,100,0.266667
1738264583.169943,854411,64994,1,SR,1,100,0.066667
1738264585.237021,856478,65373,1,SR,1,100,0.400000
1738264586.770080,858011,188,1,SR,1,100,1.066667
1738264587.970125,859211,222,1,SR,1,100,0.133333
1738264595.969429,867210,1483,1,SR,1,100,0.333333
1738264596.969466,868210,1726,1,SR,1,100,0.800000
1738264597.902502,869143,1842,1,SR,1,100,0.600000
1738264599.568565,870809,2064,1,SR,1,100,0.333333
1738264601.502638,872743,2319,1,SR,1,100,0.066667
1738264602.235666,873476,2430,1,SR,1,100,0.066667
1738264602.835689,874076,2708,1,SR,1,100,1.200000
1738264605.768800,877009,3023,1,SR,1,100,0.266667
1738264607.234856,878475,3281,1,SR,1,100,0.466667
1738264609.967959,881208,3707,1,SR,1,100,0.466667
1738264610.834992,882075,3833,1,SR,1,100,0.333333
1738264611.835030,883075,3978,1,SR,1,100,0.266667
1738264612.501055,883741,4268,1,SR,1,100,1.466667
1738264614.502131,885742,4365,1,SR,1,100,0.066667
1738264616.501207,887741,4709,1,SR,1,100,0.333333
1738264623.300465,894540,5789,1,SR,1,100,0.533333
1738264624.767521,896007,6072,1,SR,1,100,0.933333
1738264626.967604,898207,6296,1,SR,1,100,0.133333
1738264627.434622,898674,6446,1,SR,1,100,0.600000
1738264629.433698,900673,6763,1,SR,1,100,0.600000
1738264631.566778,902806,7140,1,SR,1,100,0.866667
1738264635.566930,906806,7707,1,SR,1,100,0.466667
1738264639.234069,910473,8310,1,SR,1,100,0.666667
1738264640.033100,911272,8374,1,SR,1,100,0.266667
1738264640.567120,911806,8500,1,SR,1,100,0.600000
1738264641.299148,912538,8612,1,SR,1,100,0.533333
1738264642.766203,914005,8785,1,SR,1,100,0.200000
1738264643.633236,914872,9056,1,SR,1,100,1.066667
1738264645.232297,916471,9198,1,SR,1,100,0.466667
1738264645.832319,917071,9232,1,SR,1,100,0.066667
1738264646.966362,918205,9484,1,SR,1,100,0.466667
1738264647.966400,919205,9582,1,SR,1,100,0.133333
1738264649.966476,921205,9935,1,SR,1,100,0.333333
1738264650.432494,921671,9985,1,SR,1,100,0.200000
1738264651.299527,922538,10095,1,SR,1,100,0.066667
1738264652.165560,923404,10238,1,SR,1,100,0.066667
1738264653.298603,924537,10433,1,SR,1,100,0.200000
1738264653.898625,925137,10513,1,SR,1,100,0.133333
1738264656.698732,927937,10936,1,SR,1,100,0.133333
1738264657.098747,928337,11003,1,SR,1,100,0.133333
1738264657.365757,928604,11193,1,SR,1,100,1.133333
1738264659.031820,930270,11546,1,SR,1,100,1.733333
1738264660.898891,932137,11782,1,SR,1,100,1.466667
1738264663.832002,935070,12025,1,SR,1,100,0.066667
1738264664.298020,935536,12167,1,SR,1,100,0.466667
1738264664.898042,936136,12185,1,SR,1,100,0.066667
1738264665.098050,936336,12251,1,SR,1,100,0.200000
1738264665.565068,936803,12821,1,SR,1,100,3.466667
1738264669.564219,940802,12902,1,SR,1,100,0.066667
1738264670.298247,941536,13173,1,SR,1,100,1.066667
1738264672.031313,943269,13239,1,SR,1,100,0.133333
1738264673.098354,944336,13718,1,SR,1,100,2.133333
1738264676.031465,947269,13876,1,SR,1,100,0.200000
1738264676.764493,948002,14079,1,SR,1,100,0.733333
1738264677.897536,949135,14371,1,SR,1,100,1.466667
1738264681.096657,952334,14684,1,SR,1,100,0.333333
1738264681.830685,953068,14797,1,SR,1,100,0.266667
1738264682.363705,953601,14877,1,SR,1,100,0.266667
1738264682.896725,954134,15068,1,SR,1,100,0.933333
1738264684.364781,955602,15186,1,SR,1,100,0.200000
1738264684.696793,955934,15234,1,SR,1,100,0.133333
1738264685.363819,956601,15361,1,SR,1,100,0.333333
1738264686.229851,957467,15472,1,SR,1,100,0.133333
1738264686.629867,957867,15710,1,SR,1,100,1.266667
1738264688.030920,959268,15743,1,SR,1,100,0.066667
1738264688.362932,959600,15872,1,SR,1,100,0.533333
1738264689.030958,960268,15919,1,SR,1,100,0.133333
1738264689.562978,960800,15991,1,SR,1,100,0.066667
1738264689.762985,961000,16086,1,SR,1,100,0.533333
1738264690.430011,961667,16151,1,SR,1,100,0.333333
1738264691.163039,962400,16419,1,SR,1,100,1.266667
1738264692.563092,963800,16468,1,SR,1,100,0.266667
1738264694.030147,965267,16676,1,SR,1,100,0.066667
1738264695.963221,967200,17151,1,SR,1,100,1.266667
1738264697.496279,968733,17215,1,SR,1,100,0.066667
1738264700.096377,971333,17707,1,SR,1,100,0.666667
1738264704.828557,976065,18497,1,SR,1,100,1.066667
1738264706.028602,977265,18576,1,SR,1,100,0.333333
1738264707.828671,979065,18859,1,SR,1,100,0.333333
1738264708.829709,980066,18986,1,SR,1,100,0.133333
1738264709.229724,980466,19050,1,SR,1,100,0.133333
1738264709.762744,980999,19215,1,SR,1,100,0.666667
1738264710.561774,981798,19311,1,SR,1,100,0.533333
1738264716.361994,987598,20237,1,SR,1,100,0.733333
1738264727.628422,998864,22114,1,SR,1,100,1.600000
1738264731.893583,1003129,22611,1,SR,1,100,0.533333
1738264738.026816,1009262,23805,1,SR,1,100,2.200000
1738264741.292940,1012528,23999,1,SR,1,100,0.133333
1738264742.359980,1013595,24156,1,SR,1,100,0.133333
1738264742.626990,1013862,24554,1,SR,1,100,2.333333
1738264745.760109,1016995,24719,1,SR,1,100,0.266667
1738264748.293205,1019528,25158,1,SR,1,100,0.533333
1738264752.292357,1023527,25757,1,SR,1,100,0.400000
1738264759.492630,1030727,26996,1,SR,1,100,1.266667
1738264761.558708,1032793,27211,1,SR,1,100,0.533333
1738264762.625749,1033860,27340,1,SR,1,100,0.266667
1738264764.091805,1035326,27595,1,SR,1,100,0.466667
1738264765.892873,1037127,27834,1,SR,1,100,0.200000
1738264766.358890,1037593,27961,1,SR,1,100,0.466667
1738264766.958913,1038193,28073,1,SR,1,100,0.666667
1738264770.559050,1041793,28546,1,SR,1,100,0.066667
1738264772.691130,1043925,28928,1,SR,1,100,0.400000
1738264773.225151,1044459,29168,1,SR,1,100,1.400000
1738264774.891214,1046125,29281,1,SR,1,100,0.400000
