LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1738263966.674563,237939.000,35073,1,SF,1,100,45.5304
1738263966.941573,238206.000,35119,1,SF,1,100,45.0037
1738263967.341588,238606.000,35172,1,SF,1,100,44.4831
1738263967.608598,238873.000,35218,1,SF,1,100,43.9685
1738263967.941611,239206.000,35266,1,SF,1,100,43.4599
1738263968.274624,239539.000,35314,1,SF,1,100,45.0394
1738263968.674639,239939.000,35378,1,SF,1,100,44.5184
1738263968.941649,240206.000,35425,1,SF,1,100,44.0034
1738263969.274662,240539.000,35473,1,SF,1,100,45.5766
1738263969.674677,240939.000,35535,1,SF,1,100,45.0494
1738263969.941687,241206.000,35585,1,SF,1,100,46.6105
1738263970.274699,241539.000,35633,1,SF,1,100,48.1536
1738263970.607712,241872.000,35680,1,SF,1,100,47.5965
1738263971.007727,242272.000,35744,1,SF,1,100,49.1282
1738263971.274737,242539.000,35791,1,SF,1,100,48.5599
1738263971.607750,242872.000,35838,1,SF,1,100,47.9981
1738263972.007765,243272.000,35902,1,SF,1,100,49.5251
1738263972.274775,243539.000,35940,1,SF,1,100,48.9522
1738263972.607788,243872.000,35988,1,SF,1,100,50.4682
1738263972.940801,244205.000,36035,1,SF,1,100,49.8844
1738263973.340816,244605.000,36099,1,SF,1,100,49.3073
1738263973.607826,244872.000,36147,1,SF,1,100,50.8192
1738263973.940839,245205.000,36195,1,SF,1,100,50.2313
1738263974.274851,245539.000,36241,1,SF,1,100,49.6502
1738263974.673866,245938.000,36305,1,SF,1,100,51.1581
1738263974.940876,246205.000,36352,1,SF,1,100,50.5663
1738263975.273889,246538.000,36400,1,SF,1,100,52.0636
1738263975.673904,246938.000,36462,1,SF,1,100,51.4613
1738263975.940914,247205.000,36510,1,SF,1,100,50.8660
1738263976.273927,247538.000,36556,1,SF,1,100,50.2776
1738263976.607940,247872.000,36603,1,SF,1,100,49.6960
1738263977.007955,248272.000,36665,1,SF,1,100,49.1211
1738263977.340967,248605.000,36720,1,SF,1,100,50.6351
1738263977.673980,248938.000,36766,1,SF,1,100,50.0494
1738263977.940990,249205.000,36816,1,SF,1,100,51.5526
1738263978.274003,249538.000,36862,1,SF,1,100,50.9563
1738263978.607015,249871.000,36911,1,SF,1,100,50.3668
1738263979.007031,250271.000,36973,1,SF,1,100,49.7842
1738263979.274041,250538.000,37020,1,SF,1,100,49.2083
1738263979.607054,250871.000,37067,1,SF,1,100,48.6390
1738263980.007069,251271.000,37129,1,SF,1,100,48.0764
1738263980.274079,251538.000,37175,1,SF,1,100,47.5202
1738263980.607091,251871.000,37223,1,SF,1,100,46.9705
1738263980.941104,252205.000,37271,1,SF,1,100,48.5094
1738263981.340119,252604.000,37333,1,SF,1,100,47.9482
1738263981.607129,252871.000,37380,1,SF,1,100,47.3935
1738263981.940142,253204.000,37426,1,SF,1,100,46.8453
1738263982.340157,253604.000,37490,1,SF,1,100,46.3034
1738263982.607167,253871.000,37527,1,SF,1,100,45.7677
1738263983.007182,254271.000,37591,1,SF,1,100,47.3206
1738263983.274193,254538.000,37639,1,SF,1,100,46.7731
1738263983.607205,254871.000,37687,1,SF,1,100,46.2321
1738263983.940218,255204.000,37734,1,SF,1,100,45.6973
1738263984.340233,255604.000,37798,1,SF,1,100,47.2509
1738263984.607243,255871.000,37845,1,SF,1,100,46.7043
1738263984.940256,256204.000,37894,1,SF,1,100,48.2462
1738263985.340271,256604.000,37956,1,SF,1,100,47.6881
1738263985.673284,256937.000,38002,1,SF,1,100,47.1365
1738263985.940294,257204.000,38052,1,SF,1,100,48.6734
1738263986.273306,257537.000,38100,1,SF,1,100,50.1926
1738263986.673321,257937.000,38164,1,SF,1,100,51.6943
1738263986.940331,258204.000,38213,1,SF,1,100,53.1785
1738263987.273344,258537.000,38261,1,SF,1,100,54.6456
1738263987.607357,258871.000,38314,1,SF,1,100,54.0134
1738263987.940369,259204.000,38360,1,SF,1,100,53.3886
1738263988.340385,259604.000,38424,1,SF,1,100,52.7710
1738263988.607395,259871.000,38472,1,SF,1,100,52.1606
1738263988.940407,260204.000,38518,1,SF,1,100,51.5572
1738263989.273420,260537.000,38565,1,SF,1,100,50.9607
1738263989.673435,260937.000,38627,1,SF,1,100,50.3712
1738263989.940445,261204.000,38676,1,SF,1,100,51.8708
1738263990.273458,261537.000,38723,1,SF,1,100,51.2707
1738263990.673473,261937.000,38785,1,SF,1,100,50.6776
1738263991.006486,262270.000,38831,1,SF,1,100,50.0914
1738263991.273496,262537.000,38879,1,SF,1,100,49.5119
1738263991.606508,262870.000,38925,1,SF,1,100,48.9392
1738263992.006524,263270.000,38987,1,SF,1,100,48.3730
1738263992.273534,263537.000,39034,1,SF,1,100,47.8135
1738263992.606546,263870.000,39080,1,SF,1,100,47.2603
1738263992.939559,264203.000,39133,1,SF,1,100,46.7136
1738263993.273572,264537.000,39179,1,SF,1,100,46.1733
1738263993.673587,264937.000,39243,1,SF,1,100,45.6391
1738263993.939597,265203.000,39291,1,SF,1,100,45.1112
1738263994.273610,265537.000,39339,1,SF,1,100,44.5893
1738263994.606622,265870.000,39386,1,SF,1,100,44.0735
1738263995.006637,266270.000,39448,1,SF,1,100,43.5637
1738263995.272648,266536.000,39495,1,SF,1,100,43.0597
1738263995.606660,266870.000,39542,1,SF,1,100,42.5616
1738263996.006675,267270.000,39604,1,SF,1,100,42.0692
1738263996.339688,267603.000,39652,1,SF,1,100,41.5826
1738263996.606698,267870.000,39700,1,SF,1,100,41.1015
1738263996.939711,268203.000,39746,1,SF,1,100,40.6261
1738263997.339726,268603.000,39808,1,SF,1,100,40.1561
1738263997.606736,268870.000,39855,1,SF,1,100,39.6916
1738263998.006751,269270.000,39907,1,SF,1,100,39.2324
1738263998.272761,269536.000,39954,1,SF,1,100,38.7786
1738263998.605774,269869.000,40002,1,SF,1,100,38.3300
1738263999.005789,270269.000,40066,1,SF,1,100,39.9688
1738263999.272799,270536.000,40114,1,SF,1,100,39.5065
1738263999.605812,270869.000,40162,1,SF,1,100,41.1317
1738263999.939825,271203.000,40209,1,SF,1,100,40.6559
1738264000.339840,271603.000,40271,1,SF,1,100,40.1856
1738264000.605850,271869.000,40318,1,SF,1,100,39.7207
1738264000.939862,272203.000,40365,1,SF,1,100,39.2612
1738264001.339878,272603.000,40427,1,SF,1,100,38.8070
1738264001.605888,272869.000,40473,1,SF,1,100,38.3581
1738264001.938900,273202.000,40521,1,SF,1,100,37.9144
1738264002.272913,273536.000,40567,1,SF,1,100,37.4758
1738264002.672928,273936.000,40631,1,SF,1,100,39.1245
1738264003.005941,274269.000,40683,1,SF,1,100,38.6719
1738264003.272951,274536.000,40730,1,SF,1,100,38.2246
1738264003.605963,274869.000,40779,1,SF,1,100,37.7824
1738264003.938976,275202.000,40825,1,SF,1,100,37.3453
1738264004.338991,275602.000,40887,1,SF,1,100,36.9133
1738264004.673004,275936.000,40935,1,SF,1,100,36.4863
1738264005.006017,276269.000,40981,1,SF,1,100,36.0642
1738264005.272027,276535.000,41033,1,SF,1,100,39.8115
1738264005.606039,276869.000,41079,1,SF,1,100,39.3510
1738264006.006055,277269.000,41141,1,SF,1,100,38.8958
1738264006.272065,277535.000,41188,1,SF,1,100,38.4458
1738264006.606077,277869.000,41235,1,SF,1,100,38.0011
1738264006.939090,278202.000,41282,1,SF,1,100,37.5615
1738264007.339105,278602.000,41344,1,SF,1,100,37.1270
1738264007.606115,278869.000,41390,1,SF,1,100,36.6975
1738264007.939128,279202.000,41437,1,SF,1,100,36.2730
1738264008.339143,279602.000,41491,1,SF,1,100,35.8534
1738264008.605153,279868.000,41538,1,SF,1,100,35.4386
1738264008.939166,280202.000,41585,1,SF,1,100,35.0286
1738264009.339181,280602.000,41647,1,SF,1,100,34.6234
1738264009.672194,280935.000,41693,1,SF,1,100,34.2229
1738264009.939204,281202.000,41741,1,SF,1,100,33.8270
1738264010.272216,281535.000,41789,1,SF,1,100,35.5179
1738264010.672231,281935.000,41851,1,SF,1,100,35.1071
1738264010.938242,282201.000,41898,1,SF,1,100,34.7010
1738264011.272254,282535.000,41944,1,SF,1,100,34.2995
1738264011.672269,282935.000,42007,1,SF,1,100,33.9028
1738264012.005282,283268.000,42054,1,SF,1,100,33.5106
1738264012.272292,283535.000,42102,1,SF,1,100,35.2052
1738264012.605305,283868.000,42149,1,SF,1,100,34.7979
1738264013.005320,284268.000,42215,1,SF,1,100,38.5599
1738264013.338333,284601.000,42269,1,SF,1,100,38.1138
1738264013.672345,284935.000,42316,1,SF,1,100,37.6729
1738264013.938355,285201.000,42365,1,SF,1,100,39.3193
1738264014.272368,285535.000,42412,1,SF,1,100,38.8645
1738264014.672383,285935.000,42474,1,SF,1,100,38.4149
1738264014.938393,286201.000,42522,1,SF,1,100,37.9705
1738264015.271406,286534.000,42570,1,SF,1,100,37.5313
1738264015.605419,286868.000,42618,1,SF,1,100,39.1794
1738264016.005434,287268.000,42682,1,SF,1,100,38.7261
1738264016.271444,287534.000,42729,1,SF,1,100,38.2781
1738264016.605457,287868.000,42777,1,SF,1,100,39.9176
1738264017.005472,288268.000,42841,1,SF,1,100,39.4558
1738264017.271482,288534.000,42889,1,SF,1,100,38.9994
1738264017.605494,288868.000,42935,1,SF,1,100,38.5483
1738264017.938507,289201.000,42986,1,SF,1,100,40.1846
1738264018.338522,289601.000,43055,1,SF,1,100,39.7197
1738264018.671535,289934.000,43101,1,SF,1,100,39.2602
1738264019.004548,290267.000,43152,1,SF,1,100,40.8883
1738264019.271558,290534.000,43199,1,SF,1,100,40.4153
1738264019.604570,290867.000,43246,1,SF,1,100,39.9478
1738264020.004586,291267.000,43312,1,SF,1,100,41.5679
1738264020.271595,291534.000,43358,1,SF,1,100,41.0871
1738264020.604608,291867.000,43405,1,SF,1,100,40.6118
1738264021.004623,292267.000,43468,1,SF,1,100,40.1420
1738264021.337636,292600.000,43514,1,SF,1,100,39.6776
1738264021.604646,292867.000,43561,1,SF,1,100,39.2186
1738264021.937659,293200.000,43607,1,SF,1,100,38.7649
1738264022.337674,293600.000,43671,1,SF,1,100,38.3165
1738264022.604684,293867.000,43719,1,SF,1,100,37.8732
1738264022.937697,294200.000,43765,1,SF,1,100,37.4351
1738264023.271709,294534.000,43812,1,SF,1,100,37.0021
1738264023.604722,294867.000,43864,1,SF,1,100,36.5740
1738264024.004737,295267.000,43928,1,SF,1,100,38.2332
1738264024.337750,295600.000,43975,1,SF,1,100,37.7909
1738264024.604760,295867.000,44022,1,SF,1,100,37.3537
1738264024.937773,296200.000,44071,1,SF,1,100,36.9216
1738264025.337788,296600.000,44133,1,SF,1,100,36.4945
1738264025.604798,296867.000,44179,1,SF,1,100,36.0723
1738264025.937810,297200.000,44227,1,SF,1,100,35.6551
1738264026.270823,297533.000,44273,1,SF,1,100,35.2426
1738264026.670838,297933.000,44335,1,SF,1,100,34.8349
1738264026.937848,298200.000,44384,1,SF,1,100,34.4319
1738264027.270861,298533.000,44430,1,SF,1,100,34.0336
1738264027.604874,298867.000,44478,1,SF,1,100,33.6399
1738264028.003889,299266.000,44542,1,SF,1,100,33.2508
1738264028.270899,299533.000,44588,1,SF,1,100,32.8661
1738264028.670914,299933.000,44644,1,SF,1,100,32.4859
1738264028.937924,300200.000,44690,1,SF,1,100,32.1101
1738264029.270937,300533.000,44737,1,SF,1,100,31.7387
1738264029.670952,300933.000,44800,1,SF,1,100,31.3715
1738264030.003965,301266.000,44846,1,SF,1,100,31.0086
1738264030.270975,301533.000,44893,1,SF,1,100,30.6499
1738264030.603987,301866.000,44939,1,SF,1,100,30.2953
1738264031.004003,302266.000,45001,1,SF,1,100,29.9449
1738264031.271013,302533.000,45049,1,SF,1,100,29.5985
1738264031.604025,302866.000,45095,1,SF,1,100,29.2561
1738264032.004040,303266.000,45157,1,SF,1,100,28.9176
1738264032.337053,303599.000,45206,1,SF,1,100,28.5831
1738264032.604063,303866.000,45253,1,SF,1,100,28.2525
1738264032.937076,304199.000,45300,1,SF,1,100,27.9256
1738264033.337091,304599.000,45364,1,SF,1,100,27.6026
1738264033.604101,304866.000,45410,1,SF,1,100,27.2833
1738264034.004116,305266.000,45463,1,SF,1,100,26.9677
1738264034.271127,305533.000,45509,1,SF,1,100,26.6557
1738264034.604139,305866.000,45556,1,SF,1,100,26.3473
1738264035.004154,306266.000,45619,1,SF,1,100,26.0426
1738264035.337167,306599.000,45667,1,SF,1,100,27.8236
