LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MX
1738260746.156207,696257.000,38571,3,MX,1,100,-15
1738260746.196209,696297.000,38571,3,MX,1,100,-14
1738260746.236210,696337.000,38593,3,MX,1,100,-15
1738260746.276211,696377.000,38593,3,MX,1,100,-15
1738260746.316213,696417.000,38593,3,MX,1,100,-14
1738260746.356214,696457.000,38607,3,MX,1,100,-14
1738260746.396215,696497.000,38607,3,MX,1,100,-15
1738260746.436217,696537.000,38607,3,MX,1,100,-14
1738260746.476218,696577.000,38623,2,MX,1,100,-15
1738260746.516219,696617.000,38623,2,MX,1,100,-14
1738260746.556221,696657.000,38639,3,MX,1,100,-15
1738260746.596222,696697.000,38639,3,MX,1,100,-16
1738260746.636223,696737.000,38639,3,MX,1,100,-14
1738260746.676224,696777.000,38655,2,MX,1,100,-14
1738260746.716226,696817.000,38655,2,MX,1,100,-15
1738260746.756227,696857.000,38669,3,MX,1,100,-14
1738260746.796228,696897.000,38669,3,MX,1,100,-14
1738260746.836230,696937.000,38669,3,MX,1,100,-15
1738260746.876231,696977.000,38686,2,MX,1,100,-15
1738260746.916232,697017.000,38686,2,MX,1,100,-15
1738260746.956234,697057.000,38703,3,MX,1,100,-15
1738260746.996235,697097.000,38703,3,MX,1,100,-15
1738260747.036236,697137.000,38703,3,MX,1,100,-14
1738260747.076237,697177.000,38719,3,MX,1,100,-14
1738260747.116239,697217.000,38719,3,MX,1,100,-15
1738260747.156240,697257.000,38719,3,MX,1,100,-14
1738260747.196241,697297.000,38733,2,MX,1,100,-14
1738260747.236243,697337.000,38733,2,MX,1,100,-14
1738260747.276244,697377.000,38750,3,MX,1,100,-15
1738260747.316245,697417.000,38750,3,MX,1,100,-14
1738260747.356247,697457.000,38750,3,MX,1,100,-14
1738260747.396248,697497.000,38765,2,MX,1,100,-14
1738260747.436249,697537.000,38765,2,MX,1,100,-14
1738260747.476251,697577.000,38781,3,MX,1,100,-14
1738260747.516252,697617.000,38781,3,MX,1,100,-15
1738260747.556253,697657.000,38781,3,MX,1,100,-14
