LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AX
1738263930.215577,214375.000,29677,3,AX,1,100,0.390
1738263930.255579,214415.000,29677,3,AX,1,100,0.391
1738263930.295580,214455.000,29677,3,AX,1,100,0.402
1738263930.335581,214495.000,29694,2,AX,1,100,0.393
1738263930.375582,214535.000,29694,2,AX,1,100,0.385
1738263930.415584,214575.000,29708,3,AX,1,100,0.400
1738263930.455585,214615.000,29708,3,AX,1,100,0.389
1738263930.495586,214655.000,29708,3,AX,1,100,0.390
1738263930.535588,214695.000,29724,3,AX,1,100,0.390
1738263930.575589,214735.000,29724,3,AX,1,100,0.395
1738263930.615590,214775.000,29724,3,AX,1,100,0.391
1738263930.655591,214815.000,29740,2,AX,1,100,0.397
1738263930.695593,214855.000,29740,2,AX,1,100,0.392
1738263930.735594,214895.000,29756,3,AX,1,100,0.401
1738263930.775595,214935.000,29756,3,AX,1,100,0.390
1738263930.815597,214975.000,29756,3,AX,1,100,0.398
1738263930.855598,215015.000,29770,2,AX,1,100,0.399
1738263930.895599,215055.000,29770,2,AX,1,100,0.391
1738263930.935601,215095.000,29787,3,AX,1,100,0.394
1738263930.975602,215135.000,29787,3,AX,1,100,0.394
1738263931.015603,215175.000,29787,3,AX,1,100,0.391
1738263931.055604,215215.000,29802,2,AX,1,100,0.390
1738263931.095606,215255.000,29802,2,AX,1,100,0.391
1738263931.135607,215295.000,29820,3,AX,1,100,0.398
1738263931.175608,215335.000,29820,3,AX,1,100,0.391
1738263931.215609,215375.000,29820,3,AX,1,100,0.392
1738263931.255611,215415.000,29834,2,AX,1,100,0.395
1738263931.295612,215455.000,29834,2,AX,1,100,0.405
1738263931.335613,215495.000,29851,3,AX,1,100,0.389
1738263931.375615,215535.000,29851,3,AX,1,100,0.396
1738263931.415616,215575.000,29851,3,AX,1,100,0.392
1738263931.455617,215615.000,29866,2,AX,1,100,0.392
1738263931.495618,215655.000,29866,2,AX,1,100,0.392
1738263931.535620,215695.000,29884,3,AX,1,100,0.391
1738263931.575621,215735.000,29884,3,AX,1,100,0.398
1738263931.615622,215775.000,29884,3,AX,1,100,0.396
1738263931.655623,215815.000,29899,2,AX,1,100,0.388
1738263931.695625,215855.000,29899,2,AX,1,100,0.396
1738263931.735626,215895.000,29915,3,AX,1,100,0.390
1738263931.775627,215935.000,29915,3,AX,1,100,0.401
1738263931.815629,215975.000,29915,3,AX,1,100,0.386
1738263931.850963,216010.333,29930,3,AX,1,100,0.396
1738263931.886298,216045.667,29930,3,AX,1,100,0.393
1738263931.921632,216081.000,29930,3,AX,1,100,0.396
